method,scene,rep,FDP,power,rmse
copula_mvr,linear_weak,43,0.16666666666666666,1.0,1.9176311894314073
copula_mvr,linear_weak,44,0.16666666666666666,1.0,2.062677369345868
copula_mvr,linear_weak,45,0.16666666666666666,1.0,2.058844032236436
copula_mvr,linear_weak,46,0.16666666666666666,1.0,1.9199401646791383
copula_mvr,linear_weak,47,0.16666666666666666,1.0,1.8342434006427246
copula_mvr,linear_weak,48,0.16666666666666666,1.0,1.8184627973452225
copula_mvr,linear_weak,49,0.16666666666666666,1.0,1.9179219957157219
copula_mvr,linear_weak,50,0.25,0.9,1.981294009681231
copula_mvr,linear_weak,51,0.25,0.9,1.826766602838112
copula_mvr,linear_weak,52,0.16666666666666666,1.0,1.7806451809424373
copula_mvr,linear_weak,53,0.25,0.9,1.9537341145519955
copula_mvr,linear_weak,54,0.16666666666666666,1.0,1.8589695816024445
copula_mvr,linear_weak,55,0.25,0.9,1.9070944959606124
copula_mvr,linear_weak,56,0.16666666666666666,1.0,1.8752559231645003
copula_mvr,linear_weak,57,0.16666666666666666,1.0,1.8962878810907067
copula_mvr,linear_weak,58,0.25,0.9,1.7175830024568361
copula_mvr,linear_weak,59,0.16666666666666666,1.0,1.9221149547285026
copula_mvr,linear_weak,60,0.25,0.9,1.7753650759560002
copula_mvr,linear_weak,61,0.16666666666666666,1.0,1.9626066131223259
copula_mvr,linear_weak,62,0.16666666666666666,1.0,1.919979496218125
copula_mvr,linear_weak,63,0.16666666666666666,1.0,1.9480334585068402
copula_mvr,linear_weak,64,0.16666666666666666,1.0,1.964046934899261
copula_mvr,linear_weak,65,0.25,0.9,1.9617046742896043
copula_mvr,linear_weak,66,0.16666666666666666,1.0,1.9807277189365413
copula_mvr,linear_weak,67,0.16666666666666666,1.0,1.87593107592214
copula_mvr,linear_weak,68,0.16666666666666666,1.0,1.8101022027882092
copula_mvr,linear_weak,69,0.16666666666666666,1.0,1.8873706334328633
copula_mvr,linear_weak,70,0.16666666666666666,1.0,1.8933027699232012
copula_mvr,linear_weak,71,0.16666666666666666,1.0,1.9158836801211632
copula_mvr,linear_weak,72,0.16666666666666666,1.0,1.833139969809201
copula_mvr,linear_weak,73,0.16666666666666666,1.0,1.9862525007328575
copula_mvr,linear_weak,74,0.16666666666666666,1.0,1.9498308623275407
copula_mvr,linear_weak,75,0.16666666666666666,1.0,1.948883260619644
copula_mvr,linear_weak,76,0.16666666666666666,1.0,1.8478024097315529
copula_mvr,linear_weak,77,0.3333333333333333,0.8,1.8163022546321343
copula_mvr,linear_weak,78,0.16666666666666666,1.0,1.9029106773647497
copula_mvr,linear_weak,79,0.16666666666666666,1.0,1.807049719816665
copula_mvr,linear_weak,80,0.16666666666666666,1.0,1.8784690055921138
copula_mvr,linear_weak,81,0.16666666666666666,1.0,1.9610425576157122
copula_mvr,linear_weak,82,0.16666666666666666,1.0,1.8280538309447096
copula_mvr,linear_weak,83,0.16666666666666666,1.0,1.8962317409388685
copula_mvr,linear_weak,84,0.16666666666666666,1.0,1.8587934547992933
copula_mvr,linear_weak,85,0.16666666666666666,1.0,1.860691208706693
copula_mvr,linear_weak,86,0.25,0.9,1.9128388446467384
copula_mvr,linear_weak,87,0.16666666666666666,1.0,1.934546634955142
copula_mvr,linear_weak,88,0.16666666666666666,1.0,1.9260815793414816
copula_mvr,linear_weak,89,0.25,0.9,1.822328312070828
copula_mvr,linear_weak,90,0.16666666666666666,1.0,1.7454771782890226
copula_mvr,linear_weak,91,0.16666666666666666,1.0,1.8483756515566334
copula_mvr,linear_weak,92,0.16666666666666666,1.0,1.9068208472288652
copula_mvr,linear_weak,93,0.16666666666666666,1.0,1.7646459110774677
copula_mvr,linear_weak,94,0.3333333333333333,0.8,1.9383386094794597
copula_mvr,linear_weak,95,0.3333333333333333,0.8,1.9160612946088573
copula_mvr,linear_weak,96,0.16666666666666666,1.0,1.8561338024934528
copula_mvr,linear_weak,97,0.16666666666666666,1.0,1.7904377291167919
copula_mvr,linear_weak,98,0.16666666666666666,1.0,1.8812434799775057
copula_mvr,linear_weak,99,0.16666666666666666,1.0,1.8970208379010953
copula_mvr,linear_dense,0,0.0,0.8,1.114044715303215
copula_mvr,linear_dense,1,0.0,0.8,1.2454601993756425
copula_mvr,linear_dense,2,0.0,0.8,1.1119807869441145
copula_mvr,linear_dense,3,0.0,0.8,1.1681416632618828
copula_mvr,linear_dense,4,0.0,0.8,1.0220695983990569
copula_mvr,linear_dense,5,0.0,0.8,1.0937457192092397
copula_mvr,linear_dense,6,0.0,0.8,1.0554696518476394
copula_mvr,linear_dense,7,0.0,0.8,1.1089536468299865
copula_mvr,linear_dense,8,0.0,0.8,1.0890450924320887
copula_mvr,linear_dense,9,0.0,0.8,1.0398360326668428
copula_mvr,linear_dense,10,0.0,0.8,1.1345255126585745
copula_mvr,linear_dense,11,0.0,0.8,1.0474446604437744
copula_mvr,linear_dense,12,0.0,0.8,1.1179618919925187
copula_mvr,linear_dense,13,0.0,0.8,1.1348111223530508
copula_mvr,linear_dense,14,0.0,0.8,1.0382582761349464
copula_mvr,linear_dense,15,0.0,0.8,1.0690849331662857
copula_mvr,linear_dense,16,0.0,0.8,1.0521009988264323
copula_mvr,linear_dense,17,0.0,0.8,1.141818217446252
copula_mvr,linear_dense,18,0.0,0.8,1.0360156874885418
copula_mvr,linear_dense,19,0.0,0.8,1.0868606476488194
copula_mvr,linear_dense,20,0.0,0.8,1.0666164918130423
copula_mvr,linear_dense,21,0.0,0.8,1.0724797582131498
copula_mvr,linear_dense,22,0.0,0.8,1.2146539312603277
copula_mvr,linear_dense,23,0.0,0.8,1.1260535179060494
copula_mvr,linear_dense,24,0.0,0.8,1.194402326655547
copula_mvr,linear_dense,25,0.0,0.8,1.0179238277906046
copula_mvr,linear_dense,26,0.0,0.8,1.1074638932933403
copula_mvr,linear_dense,27,0.0,0.8,1.1585731400377925
copula_mvr,linear_dense,28,0.0,0.8,1.0945161100720064
copula_mvr,linear_dense,29,0.0,0.8,1.0672461008958298
copula_mvr,linear_dense,30,0.0,0.8,1.0590982583940869
copula_mvr,linear_dense,31,0.0,0.8,1.0829277410499325
copula_mvr,linear_dense,32,0.0,0.8,1.0720675495370515
copula_mvr,linear_dense,33,0.0,0.8,1.0747349796489585
copula_mvr,linear_dense,34,0.0,0.8,1.1695059112108706
copula_mvr,linear_dense,35,0.0,0.8,1.141721563133462
copula_mvr,linear_dense,36,0.0,0.8,1.0869939018374415
copula_mvr,linear_dense,37,0.0,0.8,1.0814329747662685
copula_mvr,linear_dense,38,0.0,0.8,1.0753783885082846
copula_mvr,linear_dense,39,0.0,0.8,1.038322728250199
copula_mvr,linear_dense,40,0.0,0.8,1.0920542140282201
copula_mvr,linear_dense,41,0.0,0.8,1.0093643518897903
copula_mvr,linear_dense,42,0.0,0.8,1.0941809405344713
copula_mvr,linear_dense,43,0.0,0.8,1.178391222939092
copula_mvr,linear_dense,44,0.0,0.8,1.1481246494780828
copula_mvr,linear_dense,45,0.0,0.8,1.085891461938239
copula_mvr,linear_dense,46,0.0,0.8,1.1865934087791654
copula_mvr,linear_dense,47,0.0,0.8,1.056378690422932
copula_mvr,linear_dense,48,0.0,0.8,1.02352435120931
copula_mvr,linear_dense,49,0.0,0.8,1.1102595365466494
copula_mvr,linear_dense,50,0.0,0.8,1.034814006319963
copula_mvr,linear_dense,51,0.0,0.8,1.084418796575473
copula_mvr,linear_dense,52,0.0,0.8,1.0781471948963763
copula_mvr,linear_dense,53,0.0,0.8,1.1387285659011805
copula_mvr,linear_dense,54,0.0,0.8,1.0546174854722068
copula_mvr,linear_dense,55,0.0,0.8,1.071629268213431
copula_mvr,linear_dense,56,0.0,0.8,1.0509670915503373
copula_mvr,linear_dense,57,0.0,0.8,1.1246040287621126
copula_mvr,linear_dense,58,0.0,0.8,1.08921693368539
copula_mvr,linear_dense,59,0.0,0.8,1.130295473811445
copula_mvr,linear_dense,60,0.0,0.8,1.141964699244318
copula_mvr,linear_dense,61,0.0,0.8,1.06285302988606
copula_mvr,linear_dense,62,0.0,0.8,1.0880537151353187
copula_mvr,linear_dense,63,0.0,0.8,1.1464537468856373
copula_mvr,linear_dense,64,0.0,0.8,1.0978525144445785
copula_mvr,linear_dense,65,0.0,0.8,1.1518831482233007
copula_mvr,linear_dense,66,0.0,0.8,1.0884925319264653
copula_mvr,linear_dense,67,0.0,0.8,1.1495549958484692
copula_mvr,linear_dense,68,0.0,0.8,1.064704304268038
copula_mvr,linear_dense,69,0.0,0.8,1.0608486858730486
copula_mvr,linear_dense,70,0.0,0.8,1.1017958776392105
copula_mvr,linear_dense,71,0.0,0.8,1.0573308938417836
copula_mvr,linear_dense,72,0.0,0.8,1.1198217319460078
