outer_repetition,seed,method,seller_fraction,selected_sellers,selected_rows,matched_budget,native_count,overlap,jaccard,exact_match,selected_features,selected_labels
16,20410908,去随机化Knockoff,0.7,1573,7828,12,10,10,0.7142857142857143,False,avg_price|avg_product_height_cm|avg_product_name_length|avg_payment_sequential|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|seller_state_frequency,平均商品价格、平均商品高度、平均商品标题长度、平均支付序列数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、卖家所在州频率
16,20410908,Elastic Net,0.7,1573,7828,12,19,12,1.0,True,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、第一大买家州占比、卖家所在州频率
16,20410908,稳定性选择,0.7,1573,7828,12,11,11,0.8461538461538461,False,avg_price|avg_freight|avg_product_length_cm|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_ship_days|avg_estimate_gap_days|category_count|unique_customer_count|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品长度、平均商品高度、平均商品标题长度、平均商品描述长度、平均审核至承运天数、平均预计提前送达天数、活跃品类数、独立顾客数、第一大买家州占比、卖家所在州频率
16,20410908,影子变量树模型,0.7,1573,7828,12,9,10,0.7142857142857143,False,avg_price|avg_product_weight_g|avg_product_width_cm|avg_product_photos_qty|avg_payment_installments|avg_ship_days|item_count|order_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均商品重量、平均商品宽度、平均商品图片数、平均支付分期期数、平均审核至承运天数、成交件数、成交订单数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
16,20410908,XGBoost-SHAP,0.7,1573,7828,12,12,9,0.6,False,avg_price|avg_freight|avg_product_length_cm|avg_product_height_cm|avg_payment_installments|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|item_count|order_count|unique_customer_count|buyer_state_diversity,平均商品价格、平均运费、平均商品长度、平均商品高度、平均支付分期期数、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、独立顾客数、买家州数量
17,20420908,去随机化Knockoff,0.7,1573,7861,12,0,11,0.8461538461538461,False,avg_price|avg_freight|avg_product_name_length|avg_product_description_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|seller_state_frequency,平均商品价格、平均运费、平均商品标题长度、平均商品描述长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、卖家所在州频率
17,20420908,Elastic Net,0.7,1573,7861,12,15,11,0.8461538461538461,False,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|dominant_customer_state_share,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、第一大买家州占比
17,20420908,稳定性选择,0.7,1573,7861,12,9,12,1.0,True,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_ship_days|avg_estimate_gap_days|order_count|category_count|unique_customer_count|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均审核至承运天数、平均预计提前送达天数、成交订单数、活跃品类数、独立顾客数、第一大买家州占比、卖家所在州频率
17,20420908,影子变量树模型,0.7,1573,7861,12,8,11,0.8461538461538461,False,avg_price|avg_product_width_cm|avg_product_photos_qty|avg_product_description_length|avg_payment_installments|avg_ship_days|item_count|order_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均商品宽度、平均商品图片数、平均商品描述长度、平均支付分期期数、平均审核至承运天数、成交件数、成交订单数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
17,20420908,XGBoost-SHAP,0.7,1573,7861,12,12,11,0.8461538461538461,False,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|order_count|unique_customer_count|buyer_state_diversity|avg_distance_km,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交订单数、独立顾客数、买家州数量、平均卖家-买家距离
18,20430908,去随机化Knockoff,0.7,1573,7905,12,10,10,0.7142857142857143,False,avg_price|avg_product_height_cm|avg_product_name_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|interstate_ratio|seller_state_frequency,平均商品价格、平均商品高度、平均商品标题长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、跨州交易占比、卖家所在州频率
18,20430908,Elastic Net,0.7,1573,7905,12,19,12,1.0,True,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、第一大买家州占比、卖家所在州频率
18,20430908,稳定性选择,0.7,1573,7905,12,11,10,0.7142857142857143,False,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|debit_card_ratio|avg_ship_days|avg_estimate_gap_days|item_count|category_count|unique_customer_count|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、借记卡支付占比、平均审核至承运天数、平均预计提前送达天数、成交件数、活跃品类数、独立顾客数、第一大买家州占比、卖家所在州频率
18,20430908,影子变量树模型,0.7,1573,7905,12,9,11,0.8461538461538461,False,avg_price|avg_product_weight_g|avg_product_photos_qty|avg_product_name_length|avg_payment_installments|avg_ship_days|item_count|order_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均商品重量、平均商品图片数、平均商品标题长度、平均支付分期期数、平均审核至承运天数、成交件数、成交订单数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
18,20430908,XGBoost-SHAP,0.7,1573,7905,12,12,11,0.8461538461538461,False,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|item_count|order_count|unique_customer_count|buyer_state_diversity|interstate_ratio,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、独立顾客数、买家州数量、跨州交易占比
19,20440908,去随机化Knockoff,0.7,1573,7868,12,11,10,0.7142857142857143,False,avg_price|avg_product_name_length|avg_payment_sequential|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|interstate_ratio|seller_state_frequency,平均商品价格、平均商品标题长度、平均支付序列数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、跨州交易占比、卖家所在州频率
19,20440908,Elastic Net,0.7,1573,7868,12,18,11,0.8461538461538461,False,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|dominant_customer_state_share|interstate_ratio,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、第一大买家州占比、跨州交易占比
19,20440908,稳定性选择,0.7,1573,7868,12,11,10,0.7142857142857143,False,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_review_score|avg_ship_days|avg_estimate_gap_days|category_count|unique_customer_count|dominant_customer_state_share|interstate_ratio|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均评价得分、平均审核至承运天数、平均预计提前送达天数、活跃品类数、独立顾客数、第一大买家州占比、跨州交易占比、卖家所在州频率
19,20440908,影子变量树模型,0.7,1573,7868,12,7,10,0.7142857142857143,False,avg_price|avg_product_height_cm|avg_product_width_cm|avg_product_photos_qty|avg_payment_installments|avg_ship_days|item_count|order_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均商品高度、平均商品宽度、平均商品图片数、平均支付分期期数、平均审核至承运天数、成交件数、成交订单数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
19,20440908,XGBoost-SHAP,0.7,1573,7868,12,12,11,0.8461538461538461,False,avg_price|avg_freight|avg_product_name_length|avg_product_description_length|avg_review_score|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|order_count|unique_customer_count|buyer_state_diversity|interstate_ratio,平均商品价格、平均运费、平均商品标题长度、平均商品描述长度、平均评价得分、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交订单数、独立顾客数、买家州数量、跨州交易占比
