method,scene,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,FDP_n,power_mean,power_sd,power_se,power_ci_low,power_ci_high,power_n,rmse_mean,rmse_sd,rmse_se,rmse_ci_low,rmse_ci_high,rmse_n
random_k_search,nonlinear,0.4875,0.07800741712698732,0.0078007417126987316,0.4720216360593223,0.5029783639406777,100,0.615,0.09360890055238479,0.009360890055238479,0.5964259632711868,0.6335740367288132,100,1.20937389096349,0.10888489699955549,0.01088848969995555,1.1877687651245104,1.2309790168024695,100
random_k_search,nonlinear_panel,0.48416666666666663,0.08265294634701703,0.008265294634701704,0.46776652894327775,0.5005668043900555,100,0.619,0.09918353561642042,0.009918353561642041,0.5993198347319333,0.6386801652680667,100,1.1807810209405343,0.1006602196618437,0.01006602196618437,1.1608078495209724,1.2007541923600962,100
shadow_trees,linear_dense,0.20333333333333337,0.08318168018976245,0.008318168018976245,0.1868282833445833,0.21983838332208344,100,0.6373333333333333,0.06654534415180996,0.006654534415180996,0.6241292933423332,0.6505373733243334,100,1.1176971908379398,0.04993305935461641,0.00499330593546164,1.107789388556728,1.1276049931191516,100
shadow_trees,linear_medium,0.3291666666666667,0.06309342297297468,0.006309342297297469,0.31664756272749833,0.3416857706058351,100,0.8050000000000002,0.07571210756756964,0.0075712107567569645,0.7899770752729981,0.8200229247270022,100,1.0955787663075855,0.04198064015487543,0.004198064015487543,1.0872488965245366,1.1039086360906345,100
shadow_trees,linear_sparse,0.5875,0.01825357612979918,0.0018253576129799178,0.5838780944817599,0.5911219055182402,100,0.99,0.04380858271151806,0.0043808582711518055,0.9813074267562235,0.9986925732437765,100,0.639888136617715,0.03536460466131154,0.003536460466131154,0.6328710318124773,0.6469052414229528,100
shadow_trees,linear_weak,0.35833333333333334,0.07721659015869017,0.0077216590158690175,0.34301188662027615,0.3736547800463905,100,0.7700000000000001,0.09265990819042824,0.009265990819042825,0.7516142639443315,0.7883857360556688,100,1.9023434801794794,0.06888078527638829,0.006888078527638829,1.8886760380016154,1.9160109223573434,100
shadow_trees,nonlinear,0.26416666666666666,0.06809805928961811,0.006809805928961811,0.2506545343059363,0.277678799027397,100,0.8830000000000002,0.08171767114754175,0.008171767114754175,0.8667854411671237,0.8992145588328767,100,1.1721474305803488,0.10406024251522067,0.010406024251522067,1.1514996208626682,1.1927952402980293,100
shadow_trees,nonlinear_panel,0.27416666666666667,0.075186823056914,0.0075186823056914,0.2592479697827054,0.2890853635506279,100,0.8710000000000002,0.0902241876682968,0.00902241876682968,0.8530975637392467,0.8889024362607537,100,1.1436960700569094,0.09844258179263236,0.009844258179263236,1.1241629261025874,1.1632292140112315,100
stability_selection,linear_dense,0.0,0.0,0.0,0.0,0.0,100,0.7999999999999998,2.2316322462394835e-16,2.2316322462394835e-17,0.7999999999999998,0.7999999999999998,100,1.1018688587355077,0.05018618571168494,0.005018618571168494,1.0919108306934389,1.1118268867775765,100
stability_selection,linear_medium,0.16750000000000007,0.008333333333333335,0.0008333333333333335,0.16584648587374282,0.16915351412625731,100,0.9990000000000001,0.009999999999999995,0.0009999999999999996,0.9970157830484915,1.0009842169515089,100,1.0715059509358866,0.03886052057766136,0.0038860520577661357,1.0637951805684218,1.0792167213033514,100
stability_selection,linear_sparse,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100,0.6355727685671408,0.031798532500184044,0.0031798532500184043,0.6292632498451444,0.6418822872891373,100
