method,fraction,group,half,run,J,features
dl_jacobian,0.7,6,,f70_06,1.0,"[23, 0, 21, 16, 20, 15, 24, 27, 19, 18, 26, 2]"
dl_jacobian,0.7,7,,f70_07,1.0,"[23, 0, 21, 20, 16, 15, 24, 27, 19, 26, 2, 18]"
dl_jacobian,0.7,8,,f70_08,1.0,"[23, 0, 21, 20, 16, 15, 24, 19, 2, 27, 26, 18]"
dl_jacobian,0.7,9,,f70_09,0.8461538461538461,"[23, 0, 21, 15, 16, 20, 19, 27, 24, 18, 2, 25]"
dl_jacobian,0.7,10,,f70_10,1.0,"[23, 0, 21, 16, 20, 15, 27, 19, 18, 24, 2, 26]"
dl_jacobian,0.7,11,,f70_11,0.8461538461538461,"[23, 21, 0, 15, 20, 16, 27, 19, 24, 2, 26, 22]"
dl_jacobian,0.7,12,,f70_12,1.0,"[0, 23, 21, 20, 15, 16, 24, 19, 27, 2, 18, 26]"
dl_jacobian,0.7,13,,f70_13,0.8461538461538461,"[23, 0, 21, 16, 15, 20, 19, 24, 27, 18, 2, 22]"
dl_jacobian,0.7,14,,f70_14,0.8461538461538461,"[15, 23, 0, 21, 16, 24, 20, 18, 19, 27, 2, 25]"
dl_jacobian,0.7,15,,f70_15,1.0,"[23, 0, 21, 20, 16, 15, 24, 19, 27, 2, 18, 26]"
dl_jacobian,0.7,16,,f70_16,1.0,"[23, 15, 0, 21, 16, 20, 27, 24, 19, 2, 18, 26]"
dl_jacobian,0.7,17,,f70_17,1.0,"[23, 0, 21, 16, 20, 15, 24, 19, 27, 26, 18, 2]"
dl_jacobian,0.7,18,,f70_18,1.0,"[0, 23, 21, 20, 16, 15, 24, 19, 27, 2, 26, 18]"
dl_jacobian,0.7,19,,f70_19,1.0,"[23, 0, 21, 16, 20, 15, 27, 24, 19, 2, 18, 26]"
dl_jacobian,0.8,0,,f80_00,1.0,"[0, 23, 21, 20, 16, 15, 24, 27, 19, 26, 18, 2]"
dl_jacobian,0.8,1,,f80_01,0.8461538461538461,"[23, 0, 21, 15, 16, 20, 19, 27, 24, 2, 18, 25]"
dl_jacobian,0.8,2,,f80_02,0.8461538461538461,"[23, 0, 21, 15, 16, 20, 19, 24, 18, 27, 2, 25]"
dl_jacobian,0.8,3,,f80_03,1.0,"[23, 21, 0, 15, 20, 16, 19, 24, 27, 18, 2, 26]"
dl_jacobian,0.8,4,,f80_04,0.8461538461538461,"[23, 0, 15, 21, 16, 20, 19, 24, 2, 18, 27, 4]"
dl_jacobian,0.8,5,,f80_05,1.0,"[0, 23, 21, 20, 16, 24, 27, 26, 15, 19, 2, 18]"
dl_jacobian,0.8,6,,f80_06,1.0,"[0, 23, 21, 15, 20, 16, 19, 24, 18, 27, 26, 2]"
dl_jacobian,0.8,7,,f80_07,0.8461538461538461,"[23, 0, 21, 20, 15, 16, 19, 24, 27, 26, 18, 25]"
dl_jacobian,0.8,8,,f80_08,1.0,"[23, 15, 0, 21, 16, 20, 19, 24, 27, 18, 2, 26]"
dl_jacobian,0.8,9,,f80_09,1.0,"[0, 23, 21, 20, 16, 15, 24, 27, 19, 26, 18, 2]"
dl_jacobian,0.8,10,,f80_10,0.8461538461538461,"[23, 0, 21, 16, 20, 15, 19, 24, 27, 18, 2, 9]"
dl_jacobian,0.8,11,,f80_11,1.0,"[23, 21, 0, 15, 16, 20, 19, 27, 24, 26, 2, 18]"
dl_jacobian,0.8,12,,f80_12,0.8461538461538461,"[0, 23, 21, 20, 16, 24, 27, 15, 2, 19, 25, 26]"
dl_jacobian,0.8,13,,f80_13,0.8461538461538461,"[23, 0, 21, 15, 16, 20, 19, 24, 27, 18, 2, 17]"
dl_jacobian,0.8,14,,f80_14,1.0,"[0, 23, 21, 15, 16, 20, 24, 19, 27, 18, 2, 26]"
dl_jacobian,0.8,15,,f80_15,1.0,"[23, 0, 21, 15, 16, 20, 19, 24, 26, 27, 18, 2]"
dl_jacobian,0.8,16,,f80_16,1.0,"[23, 0, 15, 21, 20, 16, 24, 19, 26, 27, 18, 2]"
dl_jacobian,0.8,17,,f80_17,1.0,"[23, 0, 15, 21, 16, 20, 19, 27, 18, 24, 2, 26]"
dl_jacobian,0.8,18,,f80_18,1.0,"[23, 0, 21, 20, 15, 16, 24, 19, 26, 27, 2, 18]"
dl_jacobian,0.8,19,,f80_19,1.0,"[0, 23, 21, 20, 16, 15, 27, 24, 19, 26, 2, 18]"
dl_jacobian_lossrank,0.5,0,A,half_00_A,0.7142857142857143,"[20, 23, 0, 21, 16, 24, 19, 2, 26, 18, 27, 22]"
dl_jacobian_lossrank,0.5,0,B,half_00_B,0.7142857142857143,"[23, 21, 16, 15, 0, 27, 19, 24, 20, 7, 18, 4]"
dl_jacobian_lossrank,0.5,1,A,half_01_A,0.8461538461538461,"[23, 21, 20, 0, 16, 24, 27, 19, 15, 2, 18, 26]"
dl_jacobian_lossrank,0.5,1,B,half_01_B,0.7142857142857143,"[23, 21, 16, 15, 0, 20, 19, 24, 27, 18, 26, 7]"
dl_jacobian_lossrank,0.5,2,A,half_02_A,0.8461538461538461,"[23, 21, 16, 0, 20, 19, 15, 27, 24, 18, 12, 25]"
dl_jacobian_lossrank,0.5,2,B,half_02_B,0.8461538461538461,"[23, 21, 20, 0, 15, 16, 19, 24, 2, 27, 22, 18]"
dl_jacobian_lossrank,0.5,3,A,half_03_A,0.8461538461538461,"[23, 0, 20, 21, 16, 27, 19, 24, 26, 15, 2, 18]"
dl_jacobian_lossrank,0.5,3,B,half_03_B,0.8461538461538461,"[23, 21, 0, 16, 20, 15, 24, 19, 2, 27, 18, 26]"
dl_jacobian_lossrank,0.5,4,A,half_04_A,0.8461538461538461,"[23, 16, 21, 20, 0, 24, 19, 27, 15, 18, 2, 22]"
dl_jacobian_lossrank,0.5,4,B,half_04_B,0.8461538461538461,"[23, 15, 21, 0, 16, 20, 19, 27, 2, 24, 25, 26]"
dl_jacobian_lossrank,0.5,5,A,half_05_A,0.7142857142857143,"[23, 0, 21, 16, 20, 15, 24, 2, 27, 19, 22, 26]"
dl_jacobian_lossrank,0.5,5,B,half_05_B,0.6,"[0, 23, 20, 21, 24, 16, 27, 26, 19, 25, 12, 7]"
dl_jacobian_lossrank,0.5,6,A,half_06_A,0.8461538461538461,"[23, 21, 0, 20, 16, 24, 27, 15, 2, 22, 19, 18]"
dl_jacobian_lossrank,0.5,6,B,half_06_B,0.8461538461538461,"[23, 20, 21, 0, 16, 19, 26, 15, 24, 27, 2, 25]"
dl_jacobian_lossrank,0.5,7,A,half_07_A,0.5,"[23, 20, 21, 5, 0, 16, 26, 27, 18, 22, 19, 3]"
dl_jacobian_lossrank,0.5,7,B,half_07_B,0.7142857142857143,"[23, 0, 21, 20, 24, 16, 15, 27, 22, 25, 2, 26]"
dl_jacobian_lossrank,0.5,8,A,half_08_A,0.8461538461538461,"[23, 21, 20, 16, 0, 24, 15, 19, 27, 18, 2, 26]"
dl_jacobian_lossrank,0.5,8,B,half_08_B,0.7142857142857143,"[23, 21, 0, 16, 20, 15, 25, 24, 19, 26, 27, 22]"
dl_jacobian_lossrank,0.5,9,A,half_09_A,0.7142857142857143,"[23, 21, 0, 20, 16, 24, 15, 27, 19, 26, 5, 18]"
dl_jacobian_lossrank,0.5,9,B,half_09_B,0.8461538461538461,"[23, 21, 0, 16, 20, 24, 15, 19, 27, 2, 22, 18]"
dl_jacobian_lossrank,0.5,10,A,half_10_A,0.7142857142857143,"[23, 21, 16, 20, 0, 27, 24, 19, 15, 22, 18, 26]"
dl_jacobian_lossrank,0.5,10,B,half_10_B,0.8461538461538461,"[23, 0, 21, 20, 16, 24, 27, 15, 2, 25, 19, 26]"
dl_jacobian_lossrank,0.5,11,A,half_11_A,0.8461538461538461,"[23, 0, 21, 20, 16, 27, 24, 2, 15, 19, 26, 18]"
dl_jacobian_lossrank,0.5,11,B,half_11_B,0.8461538461538461,"[23, 16, 0, 21, 20, 15, 19, 4, 24, 25, 2, 18]"
