candidate,comparator,scene,metric,mean,sd,se,ci_low,ci_high,n
vtfs_cardinality,vtfs,linear_medium,FDP,-0.10166666666666666,0.1343083040571972,0.013430830405719721,-0.12831634803053396,-0.07501698530279935,100
vtfs_pairrank,vtfs_cardinality,linear_medium,FDP,-0.014166666666666668,0.08545694829107431,0.008545694829107432,-0.03112317920900173,0.0027898458756683946,100
random_k_search,vtfs,linear_medium,FDP,-0.06916666666666667,0.13350945859042673,0.013350945859042673,-0.0956578397588538,-0.04267549357447954,100
dl_jacobian,xgboost_shap,linear_medium,FDP,-0.0075,0.023968624272055115,0.0023968624272055115,-0.012255895058495421,-0.002744104941504578,100
dl_jacobian_lossrank,xgboost_shap,linear_medium,FDP,-0.0075,0.023968624272055115,0.0023968624272055115,-0.012255895058495421,-0.002744104941504578,100
dl_score_only,xgboost_shap,linear_medium,FDP,-0.0041666666666666675,0.021759706994462235,0.0021759706994462233,-0.008484264614494069,0.00015093128116073357,100
tabm_budget_gate,xgboost_shap,linear_medium,FDP,0.02416666666666667,0.04925796180666432,0.004925796180666432,0.014392818385311609,0.03394051494802173,100
ep_regression,xgboost_shap,linear_medium,FDP,-0.006666666666666667,0.022721660362024228,0.002272166036202423,-0.011175137032341806,-0.002158196300991528,100
ep_refresh,xgboost_shap,linear_medium,FDP,0.32250000000000006,0.11339508616681282,0.011339508616681282,0.2999999547810023,0.34500004521899785,100
ep_dispersion,xgboost_shap,linear_medium,FDP,0.30500000000000005,0.12033669562628704,0.012033669562628704,0.2811225888649781,0.328877411135022,100
vtfs_cardinality,xgboost_shap,linear_medium,FDP,0.25666666666666665,0.09599148858639786,0.009599148858639786,0.23761987278129837,0.27571346055203494,100
vtfs_pairrank,xgboost_shap,linear_medium,FDP,0.24250000000000005,0.08791687610679254,0.008791687610679253,0.22505538441052142,0.2599446155894787,100
random_k_search,xgboost_shap,linear_medium,FDP,0.2891666666666667,0.08978009672972682,0.008978009672972683,0.27135234768274535,0.306980985650588,100
ep_dispersion,ep_refresh,linear_medium,FDP,-0.0175,0.10939008032963046,0.010939008032963046,-0.03920536517169493,0.004205365171694925,100
vtfs_pairrank,random_k_search,linear_medium,FDP,-0.04666666666666666,0.08485149104823596,0.008485149104823595,-0.06350304335653637,-0.02983028997679696,100
vtfs_cardinality,random_k_search,linear_medium,FDP,-0.0325,0.0885528686714546,0.00885528686714546,-0.05007081031226224,-0.014929189687737762,100
dl_jacobian,dl_score_only,linear_medium,FDP,-0.0033333333333333335,0.016412198797244367,0.0016412198797244367,-0.006589869639835603,-7.679702683106469e-05,100
dl_jacobian,dl_jacobian_lossrank,linear_medium,FDP,0.0,0.0,0.0,0.0,0.0,100
dl_jacobian,deep_lasso,linear_medium,power,0.003999999999999999,0.01969463855669323,0.001969463855669323,9.215643219727919e-05,0.00790784356780272,100
dl_jacobian_lossrank,deep_lasso,linear_medium,power,0.003999999999999999,0.01969463855669323,0.001969463855669323,9.215643219727919e-05,0.00790784356780272,100
dl_score_only,deep_lasso,linear_medium,power,0.0,0.0,0.0,0.0,0.0,100
tabm_budget_gate,tabm,linear_medium,power,-0.034999999999999996,0.05573204290227125,0.005573204290227125,-0.046058446426889575,-0.023941553573110418,100
ep_refresh,ep_regression,linear_medium,power,-0.395,0.132096536478043,0.013209653647804302,-0.4212108186915318,-0.3687891813084682,100
ep_dispersion,ep_regression,linear_medium,power,-0.37400000000000005,0.13971110163187433,0.013971110163187434,-0.4017217136171918,-0.34627828638280833,100
vtfs_cardinality,vtfs,linear_medium,power,0.12200000000000001,0.16116996486863663,0.016116996486863662,0.09002038236335924,0.15397961763664078,100
vtfs_pairrank,vtfs_cardinality,linear_medium,power,0.016999999999999994,0.10254833794928916,0.010254833794928916,-0.003347815050802075,0.03734781505080206,100
random_k_search,vtfs,linear_medium,power,0.08299999999999999,0.16021135030851202,0.016021135030851202,0.05121059228937545,0.11478940771062453,100
dl_jacobian,xgboost_shap,linear_medium,power,0.008999999999999998,0.028762349126466125,0.0028762349126466124,0.0032929259298054942,0.0147070740701945,100
dl_jacobian_lossrank,xgboost_shap,linear_medium,power,0.008999999999999998,0.028762349126466125,0.0028762349126466124,0.0032929259298054942,0.0147070740701945,100
dl_score_only,xgboost_shap,linear_medium,power,0.004999999999999999,0.02611164839335467,0.002611164839335467,-0.0001811175373928808,0.01018111753739288,100
tabm_budget_gate,xgboost_shap,linear_medium,power,-0.028999999999999998,0.05910955416799717,0.005910955416799717,-0.04072861793762607,-0.017271382062373927,100
ep_regression,xgboost_shap,linear_medium,power,0.007999999999999998,0.02726599243442906,0.002726599243442906,0.0025898355611898346,0.013410164438810162,100
ep_refresh,xgboost_shap,linear_medium,power,-0.387,0.13607410340017537,0.013607410340017537,-0.41400005426279735,-0.3599999457372027,100
ep_dispersion,xgboost_shap,linear_medium,power,-0.3660000000000001,0.14440403475154442,0.014440403475154443,-0.3946528933620264,-0.3373471066379738,100
vtfs_cardinality,xgboost_shap,linear_medium,power,-0.308,0.11518978630367743,0.011518978630367743,-0.33085615266244195,-0.28514384733755804,100
vtfs_pairrank,xgboost_shap,linear_medium,power,-0.29100000000000004,0.10550025132815102,0.010550025132815102,-0.3119335387073744,-0.2700664612926257,100
random_k_search,xgboost_shap,linear_medium,power,-0.347,0.10773611607567217,0.010773611607567218,-0.3683771827807056,-0.32562281721929437,100
ep_dispersion,ep_refresh,linear_medium,power,0.020999999999999998,0.13126809639555656,0.013126809639555656,-0.005046438206033916,0.04704643820603391,100
vtfs_pairrank,random_k_search,linear_medium,power,0.055999999999999994,0.10182178925788316,0.010182178925788316,0.03579634797215635,0.07620365202784364,100
vtfs_cardinality,random_k_search,linear_medium,power,0.03900000000000001,0.10626344240574552,0.010626344240574553,0.01791502762528532,0.06008497237471469,100
dl_jacobian,dl_score_only,linear_medium,power,0.003999999999999999,0.01969463855669323,0.001969463855669323,9.215643219727919e-05,0.00790784356780272,100
dl_jacobian,dl_jacobian_lossrank,linear_medium,power,0.0,0.0,0.0,0.0,0.0,100
dl_jacobian,deep_lasso,linear_medium,rmse,0.00011226699742999279,0.005984759345966108,0.0005984759345966108,-0.001075239097066604,0.0012997730919265895,100
dl_jacobian_lossrank,deep_lasso,linear_medium,rmse,1.297755676211043e-05,0.005865601568751361,0.0005865601568751361,-0.001150885049589127,0.0011768401631133477,100
dl_score_only,deep_lasso,linear_medium,rmse,1.72921721969721e-05,0.00218374365858617,0.00021837436585861702,-0.00041600994631465474,0.0004505942907085989,100
