scene,method,rule,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,FDP_n,size_mean,size_sd,size_se,size_ci_low,size_ci_high,size_n,rmse_mean,rmse_sd,rmse_se,rmse_ci_low,rmse_ci_high,rmse_n,power_mean,power_sd,power_se,power_ci_low,power_ci_high,power_n
high_correlation,lasso_pair_q20,native10,0.07463949938949938,0.11764776857966479,0.011764776857966478,0.051295629717205235,0.09798336906179352,100,5.31,5.778215795362594,0.5778215795362593,4.163476626936632,6.4565233730633675,100,,,,,,,0.43999999999999995,0.4743948830357522,0.04743948830357522,0.3458697631371481,0.5341302368628518,100.0
high_correlation,lasso_pair_q20,top12,0.2483333333333333,0.0901893506321689,0.00901893506321689,0.2304378094963423,0.2662288571703243,100,12.0,0.0,0.0,12.0,12.0,100,0.7807274915266608,0.04553852614367459,0.0045538526143674585,0.7716916599745607,0.7897633230787608,100.0,0.9020000000000001,0.10822722075860264,0.010822722075860264,0.8805253713956109,0.9234746286043893,100.0
high_correlation,lasso_pair_q20,top8,0.07125,0.10697723490480948,0.010697723490480949,0.05002339570763506,0.09247660429236493,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,0.7430000000000001,0.08558178792384762,0.008558178792384762,0.7260187165661082,0.759981283433892,100.0
high_correlation,linear_orbit_student,native,0.174640568581745,0.11536090814077979,0.01153609081407798,0.1517504616343079,0.19753067552918213,100,10.75,3.4681086744474685,0.3468108674447469,10.061851997848702,11.438148002151298,100,0.8088309595810149,0.10241756833092815,0.010241756833092815,0.7885090920595623,0.8291528271024675,100.0,0.8590000000000001,0.24250169217362316,0.024250169217362318,0.8108824031619557,0.9071175968380445,100.0
high_correlation,linear_orbit_student,native10,0.0809170143581908,0.11083585903142419,0.011083585903142418,0.058924775325672946,0.10290925339070867,100,5.86,5.911843958520809,0.5911843958520808,4.686961900282882,7.0330380997171185,100,,,,,,,0.48499999999999993,0.48039861394765526,0.04803986139476553,0.38967849267237864,0.5803215073276212,100.0
high_correlation,linear_orbit_student,top12,0.21166666666666661,0.06424472710439587,0.006424472710439587,0.19891911901010745,0.22441421432322578,100,12.0,0.0,0.0,12.0,12.0,100,0.7809049333308549,0.0474441673781477,0.004744416737814771,0.7714909812146613,0.7903188854470484,100.0,0.9460000000000001,0.077093672525275,0.007709367252527501,0.9307029428121291,0.9612970571878711,100.0
high_correlation,linear_orbit_student,top8,0.07625,0.10033875702646591,0.010033875702646591,0.05634061374147754,0.09615938625852247,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,0.7390000000000001,0.08027100562117274,0.008027100562117275,0.7230724909931822,0.754927509006818,100.0
high_correlation,tabm_midpoint,native,0.16172708280138617,0.1630917552651359,0.01630917552651359,0.12936614025654736,0.194088025346225,100,10.87,4.7877263113427055,0.47877263113427054,9.920011229384967,11.819988770615032,100,0.8058688086328526,0.09587975372576298,0.009587975372576298,0.7868441853679389,0.8248934318977663,100.0,0.8440000000000001,0.24384131286266045,0.024384131286266045,0.7956165933539778,0.8923834066460223,100.0
high_correlation,tabm_midpoint,native10,0.08484114578232224,0.12598957898962931,0.012598957898962931,0.05984207994785577,0.10984021161678871,100,6.49,6.148819382448942,0.6148819382448942,5.269940834957966,7.7100591650420345,100,,,,,,,0.534,0.48787728213582815,0.048787728213582814,0.4371945626530106,0.6308054373469895,100.0
high_correlation,tabm_midpoint,top12,0.22499999999999992,0.08333333333333337,0.008333333333333337,0.20846485873742757,0.24153514126257228,100,12.0,0.0,0.0,12.0,12.0,100,0.7804632086872769,0.04628993589523962,0.004628993589523962,0.7712782811385185,0.7896481362360354,100.0,0.9300000000000002,0.09999999999999999,0.009999999999999998,0.9101578304849134,0.9498421695150869,100.0
high_correlation,tabm_midpoint,top8,0.04125,0.08893129512452436,0.008893129512452436,0.023604101669429733,0.05889589833057027,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,0.767,0.07114503609961952,0.007114503609961952,0.7528832813355438,0.7811167186644562,100.0
high_correlation,tabm_naive,native,0.1662071898403167,0.16546584391727232,0.01654658439172723,0.13337517660068254,0.19903920307995088,100,11.01,4.891747327815687,0.4891747327815687,10.03937120296508,11.98062879703492,100,0.8085704868204614,0.10162028030819874,0.010162028030819874,0.7884068185400022,0.8287341551009206,100.0,0.848,0.25125141338363194,0.025125141338363195,0.7981462686473682,0.8978537313526318,100.0
high_correlation,tabm_naive,native10,0.06574711562946857,0.10869107249369271,0.010869107249369271,0.044180448777504155,0.08731378248143298,100,6.22,5.92133618554311,0.592133618554311,5.04507843650636,7.394921563493639,100,,,,,,,0.535,0.49693505052918585,0.049693505052918585,0.4363973048941166,0.6336026951058835,100.0
high_correlation,tabm_naive,top12,0.22166666666666665,0.07876359377087683,0.007876359377087683,0.2060382608744749,0.2372950724588584,100,12.0,0.0,0.0,12.0,12.0,100,0.780555042869414,0.04675214246948808,0.004675214246948807,0.7712784035086833,0.7898316822301448,100.0,0.9339999999999999,0.09451631252505216,0.009451631252505217,0.9152459130493699,0.95275408695063,100.0
high_correlation,tabm_naive,top8,0.0425,0.08922364364818658,0.008922364364818658,0.02479609337978982,0.06020390662021019,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,0.7659999999999999,0.07137891491854928,0.007137891491854928,0.7518368747038318,0.780163125296168,100.0
high_correlation,tabm_orbit,native,0.16856520546303827,0.16264870344478524,0.016264870344478523,0.13629217401143312,0.20083823691464342,100,11.04,4.758660366620893,0.47586603666208926,10.09577854340783,11.984221456592168,100,0.7999658526466955,0.08357705466554727,0.008357705466554727,0.7833823517842409,0.8165493535091501,100.0,0.8510000000000001,0.2320288209196731,0.02320288209196731,0.8049604480292614,0.8970395519707388,100.0
high_correlation,tabm_orbit,native10,0.08325498194615841,0.1231363138218284,0.01231363138218284,0.05882206582300192,0.10768789806931489,100,6.48,6.1175026263859005,0.61175026263859,5.266154758782621,7.69384524121738,100,,,,,,,0.536,0.48938634012300536,0.04893863401230054,0.4388951328091139,0.6331048671908861,100.0
high_correlation,tabm_orbit,top12,0.2241666666666666,0.08265294634701703,0.008265294634701704,0.2077665289432777,0.24056680439005548,100,12.0,0.0,0.0,12.0,12.0,100,0.780477558042138,0.046181622509202415,0.0046181622509202415,0.7713141222190446,0.7896409938652315,100.0,0.931,0.09918353561642042,0.009918353561642041,0.9113198347319333,0.9506801652680668,100.0
high_correlation,tabm_orbit,top8,0.03875,0.08829008375173787,0.008829008375173787,0.02123133191696804,0.056268668083031964,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,0.769,0.07063206700139033,0.0070632067001390325,0.7549850655335745,0.7830149344664256,100.0
high_correlation,tabm_orbit_student,native,0.17723726899462192,0.1969525438755654,0.01969525438755654,0.13815761137455645,0.21631692661468738,100,8.46,6.668817834753872,0.6668817834753872,7.1367618605757945,9.783238139424206,100,0.92389202770647,0.18494068626833163,0.018494068626833164,0.8871957832347428,0.9605882721781973,100.0,0.584,0.3886573625374225,0.03886573625374225,0.5068819472924591,0.6611180527075409,100.0
high_correlation,tabm_orbit_student,native10,0.04766233766233765,0.11770673423150738,0.011770673423150737,0.02430676792544922,0.07101790739922607,100,2.54,5.190161633107179,0.5190161633107179,1.5101593306518748,3.5698406693481255,100,,,,,,,0.188,0.37044335981129806,0.03704433598112981,0.11449600058885921,0.2615039994111408,100.0
high_correlation,tabm_orbit_student,top12,0.30749999999999994,0.10440293071383874,0.010440293071383874,0.2867841935090414,0.3282158064909585,100,12.0,0.0,0.0,12.0,12.0,100,0.7923846101119572,0.04898415377038258,0.004898415377038258,0.782665091285307,0.8021041289386073,100.0,0.831,0.1252835168566065,0.01252835168566065,0.8061410322108498,0.8558589677891502,100.0
high_correlation,tabm_orbit_student,top8,0.165,0.12547888067300209,0.012547888067300209,0.14010226779122942,0.1898977322087706,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,0.6679999999999999,0.10038310453840167,0.010038310453840167,0.6480818142329835,0.6879181857670164,100.0
high_correlation,tabm_pfi,top12,0.20749999999999996,0.06854979266251705,0.006854979266251705,0.19389823393766278,0.22110176606233714,100,12.0,0.0,0.0,12.0,12.0,100,0.7771385540085376,0.046932155423025965,0.004693215542302597,0.7678261961724168,0.7864509118446584,100.0,0.9510000000000002,0.08225975119502042,0.008225975119502042,0.9346778807251955,0.9673221192748048,100.0
high_correlation,tabm_pfi,top8,0.03875,0.08082396071872885,0.008082396071872885,0.022712772705382633,0.054787227294617366,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,0.7689999999999998,0.0646591685749831,0.006465916857498311,0.7561702181643059,0.7818297818356937,100.0
high_correlation,tabm_sko_quad,native,0.14233800105123634,0.15772309810636279,0.01577230981063628,0.11104231656052513,0.17363368554194755,100,9.56,5.0618797163332765,0.5061879716333276,8.555613246035355,10.564386753964646,100,0.8535295890199902,0.15649490968402846,0.015649490968402846,0.8224776037580033,0.8845815742819771,100.0,0.7560000000000001,0.33494157488412596,0.0334941574884126,0.6895403249349904,0.8224596750650098,100.0
high_correlation,tabm_sko_quad,native10,0.05931285381285382,0.09938916397504616,0.009938916397504615,0.03959188741729755,0.07903382020841009,100,5.02,5.515780849874149,0.5515780849874149,3.925549413687274,6.114450586312725,100,,,,,,,0.43400000000000005,0.47698971888206554,0.04769897188820656,0.3393548914098845,0.5286451085901156,100.0
high_correlation,tabm_sko_quad,top12,0.245,0.08928258772784574,0.008928258772784574,0.22728439759558475,0.26271560240441527,100,12.0,0.0,0.0,12.0,12.0,100,0.7822960207164675,0.046331373685426405,0.004633137368542641,0.773102871011137,0.7914891704217981,100.0,0.9060000000000001,0.1071391052734149,0.01071391052734149,0.8847412771147019,0.9272587228852984,100.0
high_correlation,tabm_sko_quad,top8,0.055,0.09114867419815173,0.009114867419815173,0.03691412555484853,0.07308587444515147,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,0.7559999999999999,0.07291893935852141,0.007291893935852141,0.7415313004438787,0.7704686995561211,100.0
high_correlation,tabm_sko_quad_scale,native,0.13425156814862696,0.1619855761223443,0.01619855761223443,0.1021101155444414,0.16639302075281254,100,9.55,4.955101442254266,0.4955101442254266,8.566800372183398,10.533199627816604,100,0.8482435510571356,0.1523660933507605,0.015236609335076052,0.8180108125309622,0.8784762895833089,100.0,0.764,0.3217753780813472,0.03217753780813472,0.7001527840232875,0.8278472159767125,100.0
high_correlation,tabm_sko_quad_scale,native10,0.05415551115551116,0.10297414182494499,0.0102974141824945,0.03372320737789965,0.07458781493312268,100,4.64,5.549629162239928,0.5549629162239927,3.5388331741696604,5.741166825830339,100,,,,,,,0.39899999999999997,0.47471309783123244,0.04747130978312324,0.3048066224180069,0.49319337758199305,100.0
high_correlation,tabm_sko_quad_scale,top12,0.25666666666666665,0.08995571924766517,0.008995571924766518,0.23881750036502936,0.27451583296830395,100,12.0,0.0,0.0,12.0,12.0,100,0.7833519314288967,0.046448776761793445,0.004644877676179345,0.7741354864061374,0.792568376451656,100.0,0.8920000000000001,0.10794686309719821,0.01079468630971982,0.8705810004380353,0.9134189995619649,100.0
high_correlation,tabm_sko_quad_scale,top8,0.06,0.09968384366018743,0.009968384366018743,0.04022056276179148,0.07977943723820852,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,0.7519999999999999,0.07974707492814996,0.007974707492814996,0.7361764502094331,0.7678235497905667,100.0
high_correlation,tabm_sko_ridge,native,0.15411732793350438,0.17092798084817507,0.017092798084817507,0.12020150822489434,0.18803314764211443,100,10.28,5.124865112785157,0.5124865112785157,9.263115576901622,11.296884423098376,100,0.8335624466772721,0.13462301662341242,0.013462301662341242,0.8068503195125311,0.8602745738420131,100.0,0.797,0.29998484810221515,0.029998484810221514,0.7374764979199828,0.8565235020800173,100.0
high_correlation,tabm_sko_ridge,native10,0.06187913995189537,0.1121916456733929,0.01121916456733929,0.039617883435615175,0.08414039646817556,100,5.46,5.859327365126237,0.5859327365126237,4.297382331767782,6.622617668232218,100,,,,,,,0.465,0.48832324945633704,0.04883232494563371,0.3681060730612933,0.5618939269387068,100.0
high_correlation,tabm_sko_ridge,top12,0.24166666666666667,0.08981524870595323,0.008981524870595323,0.2238453727680346,0.2594879605652987,100,12.0,0.0,0.0,12.0,12.0,100,0.7826194844019628,0.04478276527329221,0.004478276527329221,0.7737336122028927,0.7915053566010329,100.0,0.91,0.10777829844714387,0.010777829844714388,0.8886144473216415,0.9313855526783585,100.0
high_correlation,tabm_sko_ridge,top8,0.06,0.09481507786158799,0.0094815077861588,0.04118663152484214,0.07881336847515785,100,8.0,0.0,0.0,8.0,8.0,100,,,,,,,0.7519999999999999,0.07585206228927041,0.007585206228927041,0.7369493052198736,0.7670506947801262,100.0
high_correlation,tabm_sko_scale,native,0.16082470171440758,0.1695650827358313,0.01695650827358313,0.12717931055956672,0.19447009286924843,100,10.42,5.125062207062723,0.5125062207062723,9.403076469120965,11.436923530879035,100,0.8286871682118185,0.1261294766504554,0.01261294766504554,0.8036603436463433,0.8537139927772938,100.0,0.8029999999999999,0.29351750416717104,0.029351750416717105,0.7447597592666978,0.8612402407333021,100.0
