method,fraction,group,run,half,J,set,native_size
tabm_sko_quad_scale,0.5,4,half_04_A,A,0.3333333333333333,"[0, 15, 16, 19, 18, 27, 17, 26, 2, 20, 8, 5]",0.0
xgb_sko_ridge,0.5,4,half_04_B,B,0.4117647058823529,"[0, 7, 16, 21, 17, 25, 28, 23, 18, 3, 27, 5]",0.0
xgb_sko_quad,0.5,4,half_04_B,B,0.5,"[0, 16, 21, 23, 7, 3, 5, 24, 26, 17, 20, 25]",0.0
xgb_sko_scale,0.5,4,half_04_B,B,0.3333333333333333,"[0, 16, 21, 28, 7, 17, 18, 25, 27, 3, 4, 5]",0.0
xgb_sko_quad_scale,0.5,4,half_04_B,B,0.4117647058823529,"[0, 21, 16, 15, 7, 17, 23, 3, 27, 28, 18, 5]",7.0
tabm_sko_ridge,0.5,4,half_04_B,B,0.4117647058823529,"[0, 25, 7, 16, 4, 1, 28, 26, 27, 21, 8, 6]",0.0
tabm_sko_quad,0.5,4,half_04_B,B,0.5,"[0, 16, 4, 26, 28, 27, 18, 25, 8, 6, 7, 3]",0.0
tabm_sko_scale,0.5,4,half_04_B,B,0.3333333333333333,"[0, 16, 7, 25, 4, 8, 28, 1, 26, 18, 19, 22]",0.0
tabm_sko_quad_scale,0.5,4,half_04_B,B,0.4117647058823529,"[0, 16, 7, 19, 4, 18, 8, 22, 28, 26, 27, 3]",0.0
xgb_sko_ridge,0.5,5,half_05_A,A,0.4117647058823529,"[0, 16, 23, 8, 15, 2, 7, 4, 25, 18, 19, 28]",0.0
xgb_sko_quad,0.5,5,half_05_A,A,0.4117647058823529,"[0, 7, 16, 18, 23, 8, 15, 19, 4, 24, 9, 2]",0.0
xgb_sko_scale,0.5,5,half_05_A,A,0.3333333333333333,"[0, 16, 23, 2, 8, 7, 18, 28, 4, 25, 19, 15]",0.0
xgb_sko_quad_scale,0.5,5,half_05_A,A,0.3333333333333333,"[0, 16, 18, 7, 8, 23, 2, 24, 19, 4, 28, 9]",0.0
tabm_sko_ridge,0.5,5,half_05_A,A,0.5,"[0, 16, 25, 2, 7, 8, 27, 20, 23, 9, 26, 14]",0.0
tabm_sko_quad,0.5,5,half_05_A,A,0.2631578947368421,"[0, 16, 15, 2, 7, 27, 9, 8, 26, 25, 23, 14]",6.0
tabm_sko_scale,0.5,5,half_05_A,A,0.5,"[0, 16, 7, 25, 2, 8, 27, 20, 23, 9, 26, 22]",0.0
tabm_sko_quad_scale,0.5,5,half_05_A,A,0.3333333333333333,"[0, 16, 15, 7, 2, 19, 9, 27, 8, 20, 26, 6]",8.0
xgb_sko_ridge,0.5,5,half_05_B,B,0.5,"[0, 15, 22, 25, 23, 27, 17, 7, 6, 8, 20, 2]",0.0
xgb_sko_quad,0.5,5,half_05_B,B,0.2631578947368421,"[0, 7, 28, 17, 6, 19, 25, 5, 23, 22, 21, 24]",0.0
xgb_sko_scale,0.5,5,half_05_B,B,0.5,"[0, 22, 25, 15, 7, 23, 27, 28, 6, 20, 2, 13]",0.0
xgb_sko_quad_scale,0.5,5,half_05_B,B,0.2631578947368421,"[0, 7, 17, 28, 19, 6, 25, 2, 27, 23, 26, 13]",0.0
tabm_sko_ridge,0.5,5,half_05_B,B,0.4117647058823529,"[0, 16, 27, 25, 20, 26, 24, 9, 17, 14, 4, 6]",0.0
tabm_sko_quad,0.5,5,half_05_B,B,0.3333333333333333,"[0, 16, 27, 20, 26, 25, 24, 6, 28, 17, 13, 11]",0.0
tabm_sko_scale,0.5,5,half_05_B,B,0.5,"[0, 16, 27, 20, 25, 26, 22, 9, 17, 6, 15, 4]",0.0
tabm_sko_quad_scale,0.5,5,half_05_B,B,0.3333333333333333,"[0, 16, 27, 20, 26, 18, 6, 22, 17, 25, 24, 28]",0.0
xgb_sko_ridge,0.5,6,half_06_A,A,0.4117647058823529,"[0, 16, 22, 19, 27, 28, 3, 17, 25, 1, 20, 8]",0.0
xgb_sko_quad,0.5,6,half_06_A,A,0.3333333333333333,"[0, 19, 21, 17, 16, 18, 27, 28, 3, 20, 26, 24]",6.0
xgb_sko_scale,0.5,6,half_06_A,A,0.4117647058823529,"[0, 16, 22, 27, 3, 28, 7, 1, 25, 19, 8, 20]",0.0
xgb_sko_quad_scale,0.5,6,half_06_A,A,0.4117647058823529,"[0, 16, 19, 21, 1, 18, 3, 28, 27, 20, 7, 24]",0.0
tabm_sko_ridge,0.5,6,half_06_A,A,0.5,"[0, 16, 19, 20, 3, 17, 24, 26, 27, 10, 25, 7]",6.0
tabm_sko_quad,0.5,6,half_06_A,A,0.4117647058823529,"[0, 16, 15, 19, 27, 3, 20, 17, 24, 26, 10, 2]",5.0
tabm_sko_scale,0.5,6,half_06_A,A,0.4117647058823529,"[0, 15, 16, 19, 20, 27, 17, 3, 26, 25, 7, 24]",7.0
tabm_sko_quad_scale,0.5,6,half_06_A,A,0.3333333333333333,"[0, 16, 15, 19, 27, 3, 20, 26, 17, 2, 24, 25]",7.0
xgb_sko_ridge,0.5,6,half_06_B,B,0.4117647058823529,"[0, 15, 16, 28, 25, 1, 21, 17, 5, 27, 8, 4]",0.0
xgb_sko_quad,0.5,6,half_06_B,B,0.3333333333333333,"[0, 15, 16, 28, 18, 17, 2, 24, 8, 25, 5, 19]",0.0
xgb_sko_scale,0.5,6,half_06_B,B,0.3333333333333333,"[0, 15, 16, 17, 25, 28, 27, 1, 6, 5, 8, 21]",0.0
xgb_sko_quad_scale,0.5,6,half_06_B,B,0.6,"[0, 15, 16, 18, 27, 24, 17, 2, 25, 6, 8, 1]",0.0
tabm_sko_ridge,0.5,6,half_06_B,B,0.5,"[0, 15, 19, 16, 25, 6, 20, 27, 21, 26, 10, 28]",6.0
tabm_sko_quad,0.5,6,half_06_B,B,0.3333333333333333,"[0, 15, 16, 19, 6, 20, 21, 8, 27, 26, 1, 4]",5.0
tabm_sko_scale,0.5,6,half_06_B,B,0.3333333333333333,"[0, 15, 16, 19, 25, 6, 27, 20, 21, 26, 8, 5]",6.0
tabm_sko_quad_scale,0.5,6,half_06_B,B,0.2631578947368421,"[0, 15, 16, 19, 6, 20, 27, 26, 8, 1, 21, 25]",7.0
xgb_sko_ridge,0.5,7,half_07_A,A,0.6,"[0, 15, 25, 21, 16, 6, 7, 18, 19, 28, 9, 22]",0.0
xgb_sko_quad,0.5,7,half_07_A,A,0.4117647058823529,"[0, 16, 15, 6, 2, 23, 18, 24, 9, 7, 28, 8]",0.0
xgb_sko_scale,0.5,7,half_07_A,A,0.4117647058823529,"[0, 15, 18, 16, 2, 21, 27, 25, 23, 19, 20, 1]",0.0
xgb_sko_quad_scale,0.5,7,half_07_A,A,0.4117647058823529,"[0, 15, 16, 2, 18, 6, 24, 23, 26, 8, 7, 9]",0.0
tabm_sko_ridge,0.5,7,half_07_A,A,0.2631578947368421,"[0, 16, 19, 6, 20, 7, 26, 22, 4, 21, 2, 23]",0.0
tabm_sko_quad,0.5,7,half_07_A,A,0.4117647058823529,"[0, 16, 6, 19, 2, 20, 18, 4, 23, 26, 21, 8]",0.0
tabm_sko_scale,0.5,7,half_07_A,A,0.5,"[0, 16, 15, 20, 6, 26, 19, 18, 7, 22, 4, 2]",0.0
tabm_sko_quad_scale,0.5,7,half_07_A,A,0.4117647058823529,"[0, 16, 20, 18, 15, 6, 2, 19, 4, 26, 8, 21]",0.0
xgb_sko_ridge,0.5,7,half_07_B,B,0.4117647058823529,"[0, 21, 2, 19, 22, 6, 3, 8, 9, 25, 27, 26]",0.0
xgb_sko_quad,0.5,7,half_07_B,B,0.2631578947368421,"[0, 19, 21, 2, 3, 9, 7, 27, 26, 8, 4, 6]",0.0
xgb_sko_scale,0.5,7,half_07_B,B,0.3333333333333333,"[0, 21, 19, 2, 16, 22, 25, 7, 23, 3, 26, 1]",0.0
xgb_sko_quad_scale,0.5,7,half_07_B,B,0.4117647058823529,"[0, 17, 2, 21, 9, 1, 25, 3, 26, 18, 27, 8]",0.0
tabm_sko_ridge,0.5,7,half_07_B,B,0.6,"[0, 16, 25, 2, 26, 20, 9, 10, 18, 27, 23, 4]",0.0
tabm_sko_quad,0.5,7,half_07_B,B,0.6,"[0, 16, 26, 2, 27, 20, 9, 10, 18, 25, 4, 7]",0.0
tabm_sko_scale,0.5,7,half_07_B,B,0.7142857142857143,"[0, 16, 2, 25, 26, 18, 20, 9, 27, 3, 22, 7]",0.0
tabm_sko_quad_scale,0.5,7,half_07_B,B,0.5,"[0, 16, 26, 2, 18, 27, 20, 9, 7, 3, 10, 4]",0.0
xgb_sko_ridge,0.5,8,half_08_A,A,0.6,"[0, 15, 16, 25, 23, 22, 4, 6, 7, 2, 21, 28]",0.0
xgb_sko_quad,0.5,8,half_08_A,A,0.4117647058823529,"[0, 15, 25, 4, 22, 1, 2, 6, 26, 21, 17, 12]",0.0
xgb_sko_scale,0.5,8,half_08_A,A,0.5,"[0, 15, 25, 16, 23, 22, 28, 7, 6, 2, 26, 20]",0.0
xgb_sko_quad_scale,0.5,8,half_08_A,A,0.5,"[0, 15, 25, 21, 28, 22, 17, 1, 2, 20, 4, 26]",0.0
tabm_sko_ridge,0.5,8,half_08_A,A,0.6,"[0, 15, 16, 25, 28, 26, 22, 9, 7, 27, 20, 1]",0.0
tabm_sko_quad,0.5,8,half_08_A,A,0.4117647058823529,"[0, 15, 16, 19, 25, 26, 22, 2, 9, 28, 1, 23]",0.0
tabm_sko_scale,0.5,8,half_08_A,A,0.6,"[0, 15, 16, 19, 25, 28, 26, 9, 1, 22, 20, 2]",5.0
tabm_sko_quad_scale,0.5,8,half_08_A,A,0.5,"[0, 15, 19, 16, 26, 28, 9, 25, 2, 1, 22, 23]",0.0
xgb_sko_ridge,0.5,8,half_08_B,B,0.3333333333333333,"[0, 17, 22, 15, 21, 8, 25, 26, 2, 3, 23, 6]",6.0
xgb_sko_quad,0.5,8,half_08_B,B,0.3333333333333333,"[0, 21, 17, 23, 22, 8, 19, 26, 6, 3, 20, 9]",6.0
xgb_sko_scale,0.5,8,half_08_B,B,0.3333333333333333,"[0, 17, 22, 15, 8, 27, 25, 19, 21, 26, 3, 2]",0.0
xgb_sko_quad_scale,0.5,8,half_08_B,B,0.2631578947368421,"[0, 22, 23, 17, 21, 8, 26, 19, 6, 20, 3, 28]",0.0
tabm_sko_ridge,0.5,8,half_08_B,B,0.5,"[0, 15, 20, 22, 16, 26, 27, 25, 3, 8, 6, 1]",0.0
tabm_sko_quad,0.5,8,half_08_B,B,0.4117647058823529,"[0, 15, 19, 16, 26, 20, 22, 3, 27, 10, 25, 24]",0.0
tabm_sko_scale,0.5,8,half_08_B,B,0.6,"[0, 15, 26, 20, 22, 25, 27, 3, 8, 16, 6, 1]",0.0
tabm_sko_quad_scale,0.5,8,half_08_B,B,0.3333333333333333,"[0, 15, 19, 26, 16, 20, 10, 22, 27, 3, 8, 6]",10.0
xgb_sko_ridge,0.5,9,half_09_A,A,0.7142857142857143,"[0, 21, 16, 15, 23, 27, 2, 28, 7, 22, 20, 5]",5.0
xgb_sko_quad,0.5,9,half_09_A,A,0.5,"[0, 21, 16, 7, 2, 15, 27, 19, 25, 24, 9, 22]",0.0
xgb_sko_scale,0.5,9,half_09_A,A,0.6,"[0, 15, 16, 21, 23, 27, 22, 2, 17, 20, 7, 25]",0.0
