comparison,k,mean,sd,se,ci_low,ci_high,n
deep_lasso - tabm,12,0.0456029591323709,0.1427597836791759,0.026064251275214168,-0.007704420175692235,0.09891033844043404,30
deep_lasso - vtfs,12,0.3041859550837879,0.3313896213914859,0.06050319031973779,0.1804430367982637,0.42792887336931207,30
deep_lasso - xgboost_shap,12,0.08235509588450765,0.12836105165098943,0.023435414498110884,0.03442429147730476,0.13028590029171055,30
elastic_net - shadow_trees,12,-0.350991165697048,0.11299210405836199,0.020629441404245295,-0.3931831107576502,-0.3087992206364458,30
elastic_net - stability_selection,12,0.06270774976657331,0.10780798852516507,0.019682955731497004,0.022451585259729852,0.10296391427341678,30
elastic_net - tabm,12,-0.16069956187603246,0.1865270503522022,0.034055024354267695,-0.2303499071489319,-0.09104921660313305,30
elastic_net - vtfs,12,0.09788343407538452,0.30927699206861725,0.056465995024442675,-0.01760249272112338,0.21336936087189243,30
elastic_net - xgboost_shap,12,-0.12394742512389573,0.11992994759519625,0.021896112539433812,-0.16873000353701934,-0.07916484671077212,30
shadow_trees - stability_selection,12,0.4136989154636213,0.11971550574772659,0.021856960993723074,0.3689964109523206,0.458401419974922,30
shadow_trees - tabm,12,0.1902916038210156,0.1805983123842848,0.032972589846745795,0.12285508568856728,0.2577281219534639,30
shadow_trees - vtfs,12,0.44887459977243255,0.31447624215560455,0.05741524387602722,0.3314472410869035,0.5663019584579616,30
shadow_trees - xgboost_shap,12,0.22704374057315235,0.08938131854500309,0.016318721462217675,0.19366820771691762,0.2604192734293871,30
stability_selection - tabm,12,-0.2234073116426058,0.17714577297484652,0.03234224527500416,-0.28955463037217066,-0.15725999291304094,30
stability_selection - vtfs,12,0.03517568430881123,0.2910888774854924,0.053145314812553954,-0.07351868888629834,0.14387005750392082,30
stability_selection - xgboost_shap,12,-0.18665517489046904,0.12974631349664192,0.023688327551749256,-0.23510324457185544,-0.13820710520908264,30
tabm - vtfs,12,0.258582995951417,0.3729744611666758,0.06809550858477431,0.1193120432977346,0.3978539486050994,30
tabm - xgboost_shap,12,0.036752136752136746,0.16526559712485553,0.030173231841614766,-0.024959051409276116,0.09846332491354962,30
vtfs - xgboost_shap,12,-0.22183085919928022,0.3057302898224064,0.055818458749441364,-0.33599242561179926,-0.1076692927867612,30
copula_mvr - deep_lasso,14,-0.15115697741084735,0.09455510711414183,0.017263321697910897,-0.1864644346690874,-0.11584952015260731,30
copula_mvr - elastic_net,14,0.06654741428735238,0.11244850179378642,0.020530193663372318,0.02455845364829832,0.10853637492640644,30
copula_mvr - shadow_trees,14,-0.31584107327141386,0.09754583496405722,0.017809351400163424,-0.35226528666218565,-0.2794168598806421,30
