method,scenario,rep,rmse_at_12,seconds,rule,FDP,power,discoveries,FDP_gt_0.2
xgboost_shap,linear_sparse,49,0.6186005163074203,0.6249272502027452,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,50,0.6396974073812648,0.6125020829495043,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,50,0.6396974073812648,0.6125020829495043,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,50,0.6396974073812648,0.6125020829495043,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,50,0.6396974073812648,0.6125020829495043,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,50,0.6396974073812648,0.6125020829495043,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,51,0.6520424944480061,0.5902837498579174,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,51,0.6520424944480061,0.5902837498579174,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,51,0.6520424944480061,0.5902837498579174,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,51,0.6520424944480061,0.5902837498579174,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,51,0.6520424944480061,0.5902837498579174,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,52,0.5934993153176855,0.5958581671584398,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,52,0.5934993153176855,0.5958581671584398,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,52,0.5934993153176855,0.5958581671584398,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,52,0.5934993153176855,0.5958581671584398,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,52,0.5934993153176855,0.5958581671584398,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,53,0.6252377951481765,0.6151241669431329,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,53,0.6252377951481765,0.6151241669431329,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,53,0.6252377951481765,0.6151241669431329,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,53,0.6252377951481765,0.6151241669431329,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,53,0.6252377951481765,0.6151241669431329,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,54,0.6841713329108944,0.5886402088217437,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,54,0.6841713329108944,0.5886402088217437,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,54,0.6841713329108944,0.5886402088217437,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,54,0.6841713329108944,0.5886402088217437,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,54,0.6841713329108944,0.5886402088217437,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,55,0.6829400368615465,0.6045374579261988,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,55,0.6829400368615465,0.6045374579261988,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,55,0.6829400368615465,0.6045374579261988,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,55,0.6829400368615465,0.6045374579261988,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,55,0.6829400368615465,0.6045374579261988,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,56,0.6491671103976107,0.6084435000084341,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,56,0.6491671103976107,0.6084435000084341,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,56,0.6491671103976107,0.6084435000084341,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,56,0.6491671103976107,0.6084435000084341,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,56,0.6491671103976107,0.6084435000084341,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,57,0.5957788826997523,0.5973798749037087,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,57,0.5957788826997523,0.5973798749037087,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,57,0.5957788826997523,0.5973798749037087,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,57,0.5957788826997523,0.5973798749037087,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,57,0.5957788826997523,0.5973798749037087,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,58,0.6195004707467863,0.5866952908691019,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,58,0.6195004707467863,0.5866952908691019,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,58,0.6195004707467863,0.5866952908691019,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,58,0.6195004707467863,0.5866952908691019,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,58,0.6195004707467863,0.5866952908691019,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,59,0.6416163620556643,0.6039001250173897,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,59,0.6416163620556643,0.6039001250173897,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,59,0.6416163620556643,0.6039001250173897,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,59,0.6416163620556643,0.6039001250173897,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,59,0.6416163620556643,0.6039001250173897,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,60,0.7544796937332158,0.6080488751176745,top4,0.0,0.8,4,False
