method,fraction,k,metric,mean,sd,se,ci_low,ci_high,n,nogueira
deep_lasso,0.5,10,reference_jaccard,0.9160450660450661,0.08211985180530723,0.01499296508424937,0.8853810094312986,0.9467091226588336,30,0.87106268496099
deep_lasso,0.5,12,reference_jaccard,0.8230219780219781,0.07180249432382563,0.013109281942098648,0.7962104860069229,0.8498334700370332,30,0.7753890375656657
deep_lasso,0.5,14,reference_jaccard,0.8239705882352942,0.04683668093306441,0.008551168888570496,0.8064814841495069,0.8414596923210815,30,0.7531097184636566
deep_lasso,0.7,4,reference_jaccard,0.6199999999999999,0.08944271909999157,0.019999999999999997,0.5781395189118347,0.6618604810881651,20,0.8987816764132553
deep_lasso,0.7,8,reference_jaccard,0.857777777777778,0.1253766255951006,0.028035065762018495,0.7990997107709558,0.9164558447846002,20,0.8714244851258581
deep_lasso,0.7,10,reference_jaccard,0.990909090909091,0.04065578140908707,0.009090909090909087,0.9718815995053794,1.0099365823128024,20,0.9852380952380952
deep_lasso,0.7,12,reference_jaccard,0.8868131868131869,0.09386306995341584,0.02098842049926558,0.8428839178441885,0.9307424557821853,20,0.8475761772853185
deep_lasso,0.7,14,reference_jaccard,0.8883333333333334,0.07494637459095327,0.01675851882525345,0.8532573503158243,0.9234093163508426,20,0.8320433436532508
deep_lasso,0.8,4,reference_jaccard,0.5866666666666666,0.05962847939999438,0.01333333333333333,0.5587596792745564,0.6145736540587767,20,0.9153996101364522
deep_lasso,0.8,8,reference_jaccard,0.8511111111111112,0.1507356877562604,0.0337055244458181,0.7805646376795681,0.9216575845426542,20,0.8306350114416475
deep_lasso,0.8,10,reference_jaccard,0.9651515151515152,0.08971841202390969,0.020061646811879656,0.9231620058032083,1.0071410244998222,20,0.9425062656641604
deep_lasso,0.8,12,reference_jaccard,0.7615384615384613,0.08076027932439747,0.018058547445122353,0.7237414873481474,0.7993354357287752,20,0.8797783933518005
deep_lasso,0.8,14,reference_jaccard,0.8458333333333334,0.085818215326767,0.019189536317836535,0.8056691722271606,0.8859974944395063,20,0.8293011941618752
elastic_net,0.5,4,reference_jaccard,0.6600000000000003,0.10699661612438485,0.01953482007601552,0.6200468069268043,0.6999531930731963,30,0.6978813559322034
elastic_net,0.5,8,reference_jaccard,0.7390572390572392,0.07838420345089686,0.014310932127376831,0.7097880964637788,0.7683263816506996,30,0.6983572832227953
elastic_net,0.5,10,reference_jaccard,0.7301476301476305,0.06031843397130683,0.01101258897315689,0.7076243567431063,0.7526709035521547,30,0.6799085283831047
elastic_net,0.5,12,reference_jaccard,0.7244139194139196,0.0709350841887469,0.012950915242901574,0.6979263236663891,0.7509015151614502,30,0.6185300822678166
elastic_net,0.5,14,reference_jaccard,0.694583190001147,0.07293168392454943,0.013315442814104208,0.6673500516596181,0.7218163283426758,30,0.5402174429093671
elastic_net,0.7,4,reference_jaccard,0.76,0.2010498759800139,0.04495611895592132,0.6659057616324174,0.8540942383675826,20,0.7718810916179337
elastic_net,0.7,8,reference_jaccard,0.8111111111111112,0.08141056634056072,0.018203956042425005,0.773009793228925,0.8492124289932974,20,0.8235411899313502
elastic_net,0.7,10,reference_jaccard,0.8151515151515152,0.10021483857575716,0.022408719140956122,0.7682495269610151,0.8620535033420152,20,0.8034335839598997
elastic_net,0.7,12,reference_jaccard,0.8384615384615384,0.11212873070255279,0.025072746408167576,0.7859836771191653,0.8909393998039115,20,0.7473915050784856
elastic_net,0.7,14,reference_jaccard,0.8281862745098039,0.08868813677559657,0.019831270262803295,0.7866789488202853,0.8696936001993224,20,0.7401813356921716
elastic_net,0.8,4,reference_jaccard,0.8400000000000001,0.20104987598001386,0.04495611895592131,0.7459057616324175,0.9340942383675827,20,0.8217348927875244
