method,run,group,fraction,half,k,reference_jaccard,features,native_count,seconds
copula_mvr,half_13_A,13,0.5,A,12,0.8461538461538461,"[21, 0, 24, 23, 27, 16, 17, 20, 9, 22, 7, 2]",13.0,0.6754372918512672
copula_mvr,half_13_A,13,0.5,A,14,0.6470588235294118,"[21, 0, 24, 23, 27, 16, 17, 20, 9, 22, 7, 2, 29, 10]",13.0,0.6754372918512672
copula_mvr,half_13_B,13,0.5,B,4,1.0,"[0, 21, 23, 20]",13.0,0.7330810409039259
copula_mvr,half_13_B,13,0.5,B,8,1.0,"[0, 21, 23, 20, 24, 27, 16, 2]",13.0,0.7330810409039259
copula_mvr,half_13_B,13,0.5,B,10,0.8181818181818182,"[0, 21, 23, 20, 24, 27, 16, 2, 8, 17]",13.0,0.7330810409039259
copula_mvr,half_13_B,13,0.5,B,12,0.7142857142857143,"[0, 21, 23, 20, 24, 27, 16, 2, 8, 17, 22, 13]",13.0,0.7330810409039259
copula_mvr,half_13_B,13,0.5,B,14,0.6470588235294118,"[0, 21, 23, 20, 24, 27, 16, 2, 8, 17, 22, 13, 25, 3]",13.0,0.7330810409039259
copula_mvr,half_14_A,14,0.5,A,4,0.6,"[21, 0, 23, 24]",12.0,0.755124457878992
copula_mvr,half_14_A,14,0.5,A,8,0.6,"[21, 0, 23, 24, 16, 26, 2, 17]",12.0,0.755124457878992
copula_mvr,half_14_A,14,0.5,A,10,0.6666666666666666,"[21, 0, 23, 24, 16, 26, 2, 17, 20, 25]",12.0,0.755124457878992
copula_mvr,half_14_A,14,0.5,A,12,0.7142857142857143,"[21, 0, 23, 24, 16, 26, 2, 17, 20, 25, 27, 5]",12.0,0.755124457878992
copula_mvr,half_14_A,14,0.5,A,14,0.8666666666666667,"[21, 0, 23, 24, 16, 26, 2, 17, 20, 25, 27, 5, 30, 22]",12.0,0.755124457878992
copula_mvr,half_14_B,14,0.5,B,4,0.6,"[0, 23, 21, 24]",12.0,0.7496394589543343
copula_mvr,half_14_B,14,0.5,B,8,0.7777777777777778,"[0, 23, 21, 24, 27, 20, 28, 16]",12.0,0.7496394589543343
copula_mvr,half_14_B,14,0.5,B,10,0.5384615384615384,"[0, 23, 21, 24, 27, 20, 28, 16, 9, 7]",12.0,0.7496394589543343
copula_mvr,half_14_B,14,0.5,B,12,0.6,"[0, 23, 21, 24, 27, 20, 28, 16, 9, 7, 2, 12]",12.0,0.7496394589543343
copula_mvr,half_14_B,14,0.5,B,14,0.6470588235294118,"[0, 23, 21, 24, 27, 20, 28, 16, 9, 7, 2, 12, 22, 26]",12.0,0.7496394589543343
copula_mvr,half_15_A,15,0.5,A,4,1.0,"[0, 23, 21, 20]",11.0,0.7412552500609308
copula_mvr,half_15_A,15,0.5,A,8,0.7777777777777778,"[0, 23, 21, 20, 24, 27, 17, 16]",11.0,0.7412552500609308
copula_mvr,half_15_A,15,0.5,A,10,0.6666666666666666,"[0, 23, 21, 20, 24, 27, 17, 16, 26, 9]",11.0,0.7412552500609308
copula_mvr,half_15_A,15,0.5,A,12,0.6,"[0, 23, 21, 20, 24, 27, 17, 16, 26, 9, 10, 30]",11.0,0.7412552500609308
copula_mvr,half_15_A,15,0.5,A,14,0.6470588235294118,"[0, 23, 21, 20, 24, 27, 17, 16, 26, 9, 10, 30, 2, 28]",11.0,0.7412552500609308
copula_mvr,half_15_B,15,0.5,B,4,1.0,"[21, 0, 20, 23]",0.0,0.7035669591277838
copula_mvr,half_15_B,15,0.5,B,8,1.0,"[21, 0, 20, 23, 24, 27, 16, 2]",0.0,0.7035669591277838
copula_mvr,half_15_B,15,0.5,B,10,0.6666666666666666,"[21, 0, 20, 23, 24, 27, 16, 2, 7, 26]",0.0,0.7035669591277838
copula_mvr,half_15_B,15,0.5,B,12,0.8461538461538461,"[21, 0, 20, 23, 24, 27, 16, 2, 7, 26, 17, 25]",0.0,0.7035669591277838
copula_mvr,half_15_B,15,0.5,B,14,0.8666666666666667,"[21, 0, 20, 23, 24, 27, 16, 2, 7, 26, 17, 25, 22, 8]",0.0,0.7035669591277838
copula_mvr,half_16_A,16,0.5,A,4,1.0,"[21, 0, 23, 20]",0.0,0.6770316250622272
copula_mvr,half_16_A,16,0.5,A,8,0.7777777777777778,"[21, 0, 23, 20, 24, 16, 27, 17]",0.0,0.6770316250622272
copula_mvr,half_16_A,16,0.5,A,10,0.8181818181818182,"[21, 0, 23, 20, 24, 16, 27, 17, 26, 2]",0.0,0.6770316250622272
copula_mvr,half_16_A,16,0.5,A,12,0.7142857142857143,"[21, 0, 23, 20, 24, 16, 27, 17, 26, 2, 25, 8]",0.0,0.6770316250622272
copula_mvr,half_16_A,16,0.5,A,14,0.75,"[21, 0, 23, 20, 24, 16, 27, 17, 26, 2, 25, 8, 10, 7]",0.0,0.6770316250622272
copula_mvr,half_16_B,16,0.5,B,4,1.0,"[21, 23, 0, 20]",0.0,0.6868992920499295
copula_mvr,half_16_B,16,0.5,B,8,1.0,"[21, 23, 0, 20, 27, 16, 24, 2]",0.0,0.6868992920499295
copula_mvr,half_16_B,16,0.5,B,10,1.0,"[21, 23, 0, 20, 27, 16, 24, 2, 17, 22]",0.0,0.6868992920499295
copula_mvr,half_16_B,16,0.5,B,12,0.7142857142857143,"[21, 23, 0, 20, 27, 16, 24, 2, 17, 22, 14, 28]",0.0,0.6868992920499295
copula_mvr,half_16_B,16,0.5,B,14,0.6470588235294118,"[21, 23, 0, 20, 27, 16, 24, 2, 17, 22, 14, 28, 9, 7]",0.0,0.6868992920499295
copula_mvr,half_17_A,17,0.5,A,4,1.0,"[23, 0, 21, 20]",10.0,0.7340295419562608
copula_mvr,half_17_A,17,0.5,A,8,1.0,"[23, 0, 21, 20, 24, 27, 2, 16]",10.0,0.7340295419562608
copula_mvr,half_17_A,17,0.5,A,10,0.6666666666666666,"[23, 0, 21, 20, 24, 27, 2, 16, 26, 25]",10.0,0.7340295419562608
copula_mvr,half_17_A,17,0.5,A,12,0.8461538461538461,"[23, 0, 21, 20, 24, 27, 2, 16, 26, 25, 17, 22]",10.0,0.7340295419562608
copula_mvr,half_17_A,17,0.5,A,14,0.8666666666666667,"[23, 0, 21, 20, 24, 27, 2, 16, 26, 25, 17, 22, 8, 7]",10.0,0.7340295419562608
copula_mvr,half_17_B,17,0.5,B,4,0.6,"[0, 21, 24, 20]",0.0,0.7422698340378702
copula_mvr,half_17_B,17,0.5,B,8,0.7777777777777778,"[0, 21, 24, 20, 23, 27, 16, 17]",0.0,0.7422698340378702
copula_mvr,half_17_B,17,0.5,B,10,0.8181818181818182,"[0, 21, 24, 20, 23, 27, 16, 17, 7, 2]",0.0,0.7422698340378702
copula_mvr,half_17_B,17,0.5,B,12,0.7142857142857143,"[0, 21, 24, 20, 23, 27, 16, 17, 7, 2, 10, 28]",0.0,0.7422698340378702
copula_mvr,half_17_B,17,0.5,B,14,0.6470588235294118,"[0, 21, 24, 20, 23, 27, 16, 17, 7, 2, 10, 28, 22, 18]",0.0,0.7422698340378702
copula_mvr,half_18_A,18,0.5,A,4,0.6,"[20, 0, 24, 23]",11.0,0.6438215831294656
copula_mvr,half_18_A,18,0.5,A,8,0.7777777777777778,"[20, 0, 24, 23, 16, 17, 21, 2]",11.0,0.6438215831294656
copula_mvr,half_18_A,18,0.5,A,10,0.8181818181818182,"[20, 0, 24, 23, 16, 17, 21, 2, 27, 25]",11.0,0.6438215831294656
copula_mvr,half_18_A,18,0.5,A,12,0.7142857142857143,"[20, 0, 24, 23, 16, 17, 21, 2, 27, 25, 3, 7]",11.0,0.6438215831294656
copula_mvr,half_18_A,18,0.5,A,14,0.6470588235294118,"[20, 0, 24, 23, 16, 17, 21, 2, 27, 25, 3, 7, 12, 8]",11.0,0.6438215831294656
copula_mvr,half_18_B,18,0.5,B,4,0.6,"[0, 23, 21, 24]",13.0,0.72752520814538
copula_mvr,half_18_B,18,0.5,B,8,0.6,"[0, 23, 21, 24, 27, 20, 22, 26]",13.0,0.72752520814538
copula_mvr,half_18_B,18,0.5,B,10,0.8181818181818182,"[0, 23, 21, 24, 27, 20, 22, 26, 17, 2]",13.0,0.72752520814538
