scene,method,rule,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,FDP_n,power_mean,power_sd,power_se,power_ci_low,power_ci_high,power_n,size_mean,size_sd,size_se,size_ci_low,size_ci_high,size_n,rmse_mean,rmse_sd,rmse_se,rmse_ci_low,rmse_ci_high,rmse_n,nonempty_fraction,null_fdr_cp_low,null_fdr_cp_high
linear_sparse,xgb_midpoint,top12,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100.0,12.0,0.0,0.0,12.0,12.0,100,0.7485746483613132,0.0324000090499774,0.0032400009049977398,0.7421457836427132,0.7550035130799131,100.0,1.0,,
linear_sparse,xgb_midpoint,top8,0.375,0.0,0.0,0.375,0.375,100,1.0,0.0,0.0,1.0,1.0,100.0,8.0,0.0,0.0,8.0,8.0,100,,,,,,,1.0,,
linear_sparse,xgb_naive,native,0.1844751082251082,0.20290122273443345,0.020290122273443345,0.14421510366195803,0.2247351127882584,100,1.0,0.0,0.0,1.0,1.0,100.0,6.72,2.586210518980396,0.2586210518980396,6.206839724806903,7.233160275193097,100,0.7446310764828187,0.03216099928159811,0.0032160999281598108,0.7382496364876181,0.7510125164780193,100.0,1.0,,
linear_sparse,xgb_naive,native10,0.03303696303696304,0.1322050786575091,0.013220507865750911,0.006804607222186204,0.059269318851739874,100,0.06,0.23868325657594203,0.023868325657594204,0.012640063626071951,0.10735993637392804,100.0,0.68,2.7335550538306768,0.2733555053830677,0.1376033724306942,1.222396627569306,100,,,,,,,0.06,,
linear_sparse,xgb_naive,top12,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100.0,12.0,0.0,0.0,12.0,12.0,100,0.7483868304011849,0.03218479672867507,0.003218479672867507,0.7420006684761951,0.7547729923261748,100.0,1.0,,
linear_sparse,xgb_naive,top8,0.375,0.0,0.0,0.375,0.375,100,1.0,0.0,0.0,1.0,1.0,100.0,8.0,0.0,0.0,8.0,8.0,100,,,,,,,1.0,,
linear_sparse,xgb_orbit,native,0.18651910589410592,0.21482836392631888,0.021482836392631887,0.14389249775735807,0.22914571403085376,100,1.0,0.0,0.0,1.0,1.0,100.0,6.8,2.70801280154532,0.270801280154532,6.2626715094271255,7.337328490572874,100,0.7451594837639124,0.03206252811952414,0.003206252811952414,0.738797582583614,0.7515213849442107,100.0,1.0,,
linear_sparse,xgb_orbit,native10,0.015454545454545453,0.08839970997463527,0.008839970997463528,-0.002085874849466797,0.032994965758557704,100,0.03,0.17144660799776532,0.017144660799776532,-0.004018726586783004,0.06401872658678301,100.0,0.31,1.773514458738224,0.1773514458738224,-0.04190374527741303,0.661903745277413,100,,,,,,,0.03,,
linear_sparse,xgb_orbit,top12,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100.0,12.0,0.0,0.0,12.0,12.0,100,0.7486213211563475,0.032579390182866,0.0032579390182866,0.7421568633292817,0.7550857789834133,100.0,1.0,,
linear_sparse,xgb_orbit,top8,0.375,0.0,0.0,0.375,0.375,100,1.0,0.0,0.0,1.0,1.0,100.0,8.0,0.0,0.0,8.0,8.0,100,,,,,,,1.0,,
linear_sparse,xgb_orbit_student,native,0.19026208513708512,0.20163697048262538,0.020163697048262538,0.15025293564883702,0.23027123462533322,100,0.998,0.01999999999999999,0.001999999999999999,0.9940315660969826,1.0019684339030173,100.0,6.78,2.7471932416687963,0.2747193241668796,6.234897260081069,7.325102739918932,100,0.7448890185368151,0.03280594658303872,0.003280594658303872,0.7383796070047798,0.7513984300688504,100.0,1.0,,
