method,scene,rep,rule,theory_regime,nominal_invalid_control,FDP,power,size,false_count,rmse
linear_orbit_student,global_null,3,native,True,False,0.0,,0,0,1.0426481376396846
linear_orbit_student,global_null,3,native10,True,False,0.0,,0,0,
xgb_shap,global_null,3,top12,True,False,1.0,,12,12,1.0630469877340065
xgb_shap,global_null,3,top8,True,False,1.0,,8,8,
xgb_pfi,global_null,3,top12,True,False,1.0,,12,12,1.0559373633886069
xgb_pfi,global_null,3,top8,True,False,1.0,,8,8,
tabm_pfi,global_null,3,top12,True,False,1.0,,12,12,1.0670108647210765
tabm_pfi,global_null,3,top8,True,False,1.0,,8,8,
deep_lasso,global_null,3,top12,True,False,1.0,,12,12,1.0679562997385992
deep_lasso,global_null,3,top8,True,False,1.0,,8,8,
xgb_naive,global_null,3,top12,True,True,1.0,,12,12,1.0702402904655424
xgb_naive,global_null,3,top8,True,True,1.0,,8,8,
xgb_naive,global_null,3,native,True,True,0.0,,0,0,1.0426481376396846
xgb_naive,global_null,3,native10,True,True,0.0,,0,0,
xgb_midpoint,global_null,3,top12,True,False,1.0,,12,12,1.0751219052115335
xgb_midpoint,global_null,3,top8,True,False,1.0,,8,8,
xgb_midpoint,global_null,3,native,True,False,0.0,,0,0,1.0426481376396846
xgb_midpoint,global_null,3,native10,True,False,0.0,,0,0,
xgb_orbit,global_null,3,top12,True,False,1.0,,12,12,1.073633502201323
xgb_orbit,global_null,3,top8,True,False,1.0,,8,8,
xgb_orbit,global_null,3,native,True,False,0.0,,0,0,1.0426481376396846
xgb_orbit,global_null,3,native10,True,False,0.0,,0,0,
xgb_orbit_student,global_null,3,top12,True,False,1.0,,12,12,1.073633502201323
xgb_orbit_student,global_null,3,top8,True,False,1.0,,8,8,
xgb_orbit_student,global_null,3,native,True,False,0.0,,0,0,1.0426481376396846
xgb_orbit_student,global_null,3,native10,True,False,0.0,,0,0,
tabm_naive,global_null,3,top12,True,True,1.0,,12,12,1.0705978108580965
tabm_naive,global_null,3,top8,True,True,1.0,,8,8,
tabm_naive,global_null,3,native,True,True,0.0,,0,0,1.0426481376396846
tabm_naive,global_null,3,native10,True,True,0.0,,0,0,
tabm_midpoint,global_null,3,top12,True,False,1.0,,12,12,1.0728725445716643
tabm_midpoint,global_null,3,top8,True,False,1.0,,8,8,
tabm_midpoint,global_null,3,native,True,False,0.0,,0,0,1.0426481376396846
tabm_midpoint,global_null,3,native10,True,False,0.0,,0,0,
tabm_orbit,global_null,3,top12,True,False,1.0,,12,12,1.0737738664483074
tabm_orbit,global_null,3,top8,True,False,1.0,,8,8,
tabm_orbit,global_null,3,native,True,False,0.0,,0,0,1.0426481376396846
tabm_orbit,global_null,3,native10,True,False,0.0,,0,0,
tabm_orbit_student,global_null,3,top12,True,False,1.0,,12,12,1.070243785362836
tabm_orbit_student,global_null,3,top8,True,False,1.0,,8,8,
tabm_orbit_student,global_null,3,native,True,False,0.0,,0,0,1.0426481376396846
tabm_orbit_student,global_null,3,native10,True,False,0.0,,0,0,
lasso_pair_q20,global_null,4,top12,True,False,1.0,,12,12,1.016924119673667
lasso_pair_q20,global_null,4,top8,True,False,1.0,,8,8,
lasso_pair_q20,global_null,4,native,True,False,0.0,,0,0,0.9992182074674918
lasso_pair_q20,global_null,4,native10,True,False,0.0,,0,0,
linear_orbit_student,global_null,4,top12,True,False,1.0,,12,12,1.004143334790538
linear_orbit_student,global_null,4,top8,True,False,1.0,,8,8,
linear_orbit_student,global_null,4,native,True,False,0.0,,0,0,0.9992182074674918
linear_orbit_student,global_null,4,native10,True,False,0.0,,0,0,
xgb_shap,global_null,4,top12,True,False,1.0,,12,12,1.0209209121512726
xgb_shap,global_null,4,top8,True,False,1.0,,8,8,
xgb_pfi,global_null,4,top12,True,False,1.0,,12,12,1.0205357233715826
xgb_pfi,global_null,4,top8,True,False,1.0,,8,8,
tabm_pfi,global_null,4,top12,True,False,1.0,,12,12,1.026821208248307
tabm_pfi,global_null,4,top8,True,False,1.0,,8,8,
deep_lasso,global_null,4,top12,True,False,1.0,,12,12,1.0304438367643696
deep_lasso,global_null,4,top8,True,False,1.0,,8,8,
xgb_naive,global_null,4,top12,True,True,1.0,,12,12,1.0181449290847417
xgb_naive,global_null,4,top8,True,True,1.0,,8,8,
xgb_naive,global_null,4,native,True,True,0.0,,0,0,0.9992182074674918
xgb_naive,global_null,4,native10,True,True,0.0,,0,0,
xgb_midpoint,global_null,4,top12,True,False,1.0,,12,12,1.0291145784372713
xgb_midpoint,global_null,4,top8,True,False,1.0,,8,8,
xgb_midpoint,global_null,4,native,True,False,0.0,,0,0,0.9992182074674918
xgb_midpoint,global_null,4,native10,True,False,0.0,,0,0,
xgb_orbit,global_null,4,top12,True,False,1.0,,12,12,1.023491368558702
xgb_orbit,global_null,4,top8,True,False,1.0,,8,8,
xgb_orbit,global_null,4,native,True,False,0.0,,0,0,0.9992182074674918
xgb_orbit,global_null,4,native10,True,False,0.0,,0,0,
xgb_orbit_student,global_null,4,top12,True,False,1.0,,12,12,1.0244593933532073
xgb_orbit_student,global_null,4,top8,True,False,1.0,,8,8,
xgb_orbit_student,global_null,4,native,True,False,0.0,,0,0,0.9992182074674918
xgb_orbit_student,global_null,4,native10,True,False,0.0,,0,0,
tabm_naive,global_null,4,top12,True,True,1.0,,12,12,1.018745129669471
tabm_naive,global_null,4,top8,True,True,1.0,,8,8,
tabm_naive,global_null,4,native,True,True,0.0,,0,0,0.9992182074674918
tabm_naive,global_null,4,native10,True,True,0.0,,0,0,
tabm_midpoint,global_null,4,top12,True,False,1.0,,12,12,1.0214876487830746
tabm_midpoint,global_null,4,top8,True,False,1.0,,8,8,
tabm_midpoint,global_null,4,native,True,False,0.0,,0,0,0.9992182074674918
tabm_midpoint,global_null,4,native10,True,False,0.0,,0,0,
tabm_orbit,global_null,4,top12,True,False,1.0,,12,12,1.0175427671390715
tabm_orbit,global_null,4,top8,True,False,1.0,,8,8,
tabm_orbit,global_null,4,native,True,False,0.0,,0,0,0.9992182074674918
