scene,rule,metric,candidate,comparator,mean,sd,se,ci_low,ci_high,n,p_two_sided,holm_p_within_scene_rule_metric
high_correlation,top12,FDP,xgb_orbit_student,linear_orbit_student,0.15083333333333335,0.10964627853833617,0.010964627853833616,0.12907713287877243,0.17258953378789427,100,1.0434698843685914e-24,1.0434698843685914e-23
high_correlation,top12,FDP,xgb_orbit_student,xgb_orbit,0.08916666666666666,0.07879475818192001,0.007879475818192,0.07353207717920734,0.10480125615412597,100,1.510750674179387e-19,9.064504045076321e-19
high_correlation,top12,FDP,xgb_orbit_student,xgb_shap,0.11333333333333334,0.12508134278144356,0.012508134278144355,0.08851448126689249,0.1381521853997742,100,1.2219216311333883e-14,4.887686524533553e-14
high_correlation,top12,power,tabm_orbit_student,lasso_pair_q20,-0.071,0.09877532918986226,0.009877532918986225,-0.0905991682569375,-0.05140083174306248,100,1.257396905085173e-10,3.772190715255519e-10
high_correlation,top12,power,tabm_orbit_student,linear_orbit_student,-0.11499999999999998,0.09574271077563383,0.009574271077563383,-0.13399743097044053,-0.0960025690295594,100,4.851710062647461e-21,3.8813680501179687e-20
high_correlation,top12,power,tabm_orbit_student,tabm_midpoint,-0.099,0.08347866115772862,0.008347866115772862,-0.11556397745584146,-0.08243602254415855,100,1.0261734999953516e-20,7.183214499967462e-20
high_correlation,top12,power,tabm_orbit_student,tabm_orbit,-0.1,0.08287754140107481,0.00828775414010748,-0.11644470225473753,-0.08355529774526248,100,3.7083848287686176e-21,3.3375463458917557e-20
high_correlation,top12,power,tabm_orbit_student,xgb_orbit_student,0.06600000000000002,0.11994948431685228,0.011994948431685228,0.0421994199893777,0.08980058001062233,100,2.944692224633822e-07,5.889384449267644e-07
high_correlation,top12,power,tabm_orbit_student,xgb_shap,-0.07,0.12909944487358055,0.012909944487358055,-0.09561613069485193,-0.04438386930514808,100,4.1653780988638323e-07,5.889384449267644e-07
high_correlation,top12,power,xgb_orbit_student,lasso_pair_q20,-0.13699999999999998,0.13231047050804637,0.013231047050804638,-0.16325326784441552,-0.11074673215558446,100,1.8464440118851153e-17,9.232220059425576e-17
high_correlation,top12,power,xgb_orbit_student,linear_orbit_student,-0.18100000000000005,0.13157553424600343,0.013157553424600343,-0.20710744054547317,-0.15489255945452693,100,1.043469884368599e-24,1.0434698843685989e-23
high_correlation,top12,power,xgb_orbit_student,xgb_orbit,-0.107,0.09455370981830402,0.009455370981830403,-0.12576150738495118,-0.08823849261504882,100,1.5107506741793975e-19,9.064504045076385e-19
high_correlation,top12,power,xgb_orbit_student,xgb_shap,-0.13600000000000004,0.15009761133773222,0.015009761133773222,-0.16578262247972905,-0.10621737752027102,100,1.2219216311333667e-14,4.887686524533467e-14
high_correlation,top12,rmse,tabm_orbit_student,lasso_pair_q20,0.011657118585296188,0.02078917168147706,0.0020789171681477063,0.007532095899475082,0.015782141271117295,100,1.8627252040033508e-07,5.588175612010053e-07
high_correlation,top12,rmse,tabm_orbit_student,linear_orbit_student,0.011479676781102177,0.02080713965362778,0.002080713965362778,0.007351088859788503,0.015608264702415851,100,2.760489809095637e-07,5.588175612010053e-07
high_correlation,top12,rmse,tabm_orbit_student,tabm_midpoint,0.011921401424680176,0.020272599184141395,0.0020272599184141394,0.007898877929448732,0.01594392491991162,100,5.5530085047625856e-08,2.776504252381293e-07
high_correlation,top12,rmse,tabm_orbit_student,tabm_orbit,0.011907052069819022,0.02056840306159969,0.002056840306159969,0.007825834667790103,0.015988269471847942,100,8.353553920386677e-08,3.341421568154671e-07
high_correlation,top12,rmse,tabm_orbit_student,xgb_orbit_student,-0.005650019803249518,0.022587410649287248,0.0022587410649287246,-0.010131852113349868,-0.0011681874931491684,100,0.01401040831721714,0.01401040831721714
high_correlation,top12,rmse,tabm_orbit_student,xgb_shap,0.013557678340342166,0.02171465326070858,0.002171465326070858,0.00924902003073904,0.017866336649945292,100,1.0712914515757957e-08,6.427748709454774e-08
high_correlation,top12,rmse,xgb_orbit_student,lasso_pair_q20,0.017307138388545706,0.020169249939521544,0.0020169249939521543,0.013305121625624295,0.021309155151467116,100,1.345214463725374e-13,1.0761715709802992e-12
high_correlation,top12,rmse,xgb_orbit_student,linear_orbit_student,0.017129696584351695,0.018964196201182955,0.0018964196201182956,0.013366788626939317,0.020892604541764073,100,1.4067994706163392e-14,1.2661195235547052e-13
