method,fraction,group,run,native_size
xgb_sko_scale,0.5,16,half_16_B,6.0
xgb_sko_quad_scale,0.5,16,half_16_B,0.0
tabm_sko_ridge,0.5,16,half_16_B,0.0
tabm_sko_quad,0.5,16,half_16_B,12.0
tabm_sko_scale,0.5,16,half_16_B,10.0
tabm_sko_quad_scale,0.5,16,half_16_B,12.0
xgb_sko_ridge,0.5,17,half_17_A,0.0
xgb_sko_quad,0.5,17,half_17_A,0.0
xgb_sko_scale,0.5,17,half_17_A,0.0
xgb_sko_quad_scale,0.5,17,half_17_A,0.0
tabm_sko_ridge,0.5,17,half_17_A,0.0
tabm_sko_quad,0.5,17,half_17_A,0.0
tabm_sko_scale,0.5,17,half_17_A,0.0
tabm_sko_quad_scale,0.5,17,half_17_A,0.0
xgb_sko_ridge,0.5,17,half_17_B,0.0
xgb_sko_quad,0.5,17,half_17_B,0.0
xgb_sko_scale,0.5,17,half_17_B,0.0
xgb_sko_quad_scale,0.5,17,half_17_B,7.0
tabm_sko_ridge,0.5,17,half_17_B,0.0
tabm_sko_quad,0.5,17,half_17_B,0.0
tabm_sko_scale,0.5,17,half_17_B,0.0
tabm_sko_quad_scale,0.5,17,half_17_B,6.0
xgb_sko_ridge,0.5,18,half_18_A,0.0
xgb_sko_quad,0.5,18,half_18_A,0.0
xgb_sko_scale,0.5,18,half_18_A,0.0
xgb_sko_quad_scale,0.5,18,half_18_A,0.0
tabm_sko_ridge,0.5,18,half_18_A,0.0
tabm_sko_quad,0.5,18,half_18_A,0.0
tabm_sko_scale,0.5,18,half_18_A,5.0
tabm_sko_quad_scale,0.5,18,half_18_A,0.0
xgb_sko_ridge,0.5,18,half_18_B,6.0
xgb_sko_quad,0.5,18,half_18_B,0.0
xgb_sko_scale,0.5,18,half_18_B,16.0
xgb_sko_quad_scale,0.5,18,half_18_B,5.0
tabm_sko_ridge,0.5,18,half_18_B,22.0
tabm_sko_quad,0.5,18,half_18_B,20.0
tabm_sko_scale,0.5,18,half_18_B,22.0
tabm_sko_quad_scale,0.5,18,half_18_B,17.0
xgb_sko_ridge,0.5,19,half_19_A,0.0
xgb_sko_quad,0.5,19,half_19_A,5.0
xgb_sko_scale,0.5,19,half_19_A,7.0
xgb_sko_quad_scale,0.5,19,half_19_A,0.0
tabm_sko_ridge,0.5,19,half_19_A,6.0
tabm_sko_quad,0.5,19,half_19_A,7.0
tabm_sko_scale,0.5,19,half_19_A,14.0
tabm_sko_quad_scale,0.5,19,half_19_A,12.0
xgb_sko_ridge,0.5,19,half_19_B,0.0
xgb_sko_quad,0.5,19,half_19_B,0.0
xgb_sko_scale,0.5,19,half_19_B,6.0
xgb_sko_quad_scale,0.5,19,half_19_B,11.0
tabm_sko_ridge,0.5,19,half_19_B,0.0
tabm_sko_quad,0.5,19,half_19_B,0.0
tabm_sko_scale,0.5,19,half_19_B,6.0
tabm_sko_quad_scale,0.5,19,half_19_B,6.0
xgb_sko_ridge,0.5,20,half_20_A,0.0
xgb_sko_quad,0.5,20,half_20_A,0.0
xgb_sko_scale,0.5,20,half_20_A,0.0
xgb_sko_quad_scale,0.5,20,half_20_A,0.0
tabm_sko_ridge,0.5,20,half_20_A,0.0
tabm_sko_quad,0.5,20,half_20_A,6.0
tabm_sko_scale,0.5,20,half_20_A,17.0
tabm_sko_quad_scale,0.5,20,half_20_A,11.0
xgb_sko_ridge,0.5,20,half_20_B,0.0
xgb_sko_quad,0.5,20,half_20_B,0.0
xgb_sko_scale,0.5,20,half_20_B,0.0
xgb_sko_quad_scale,0.5,20,half_20_B,0.0
tabm_sko_ridge,0.5,20,half_20_B,0.0
tabm_sko_quad,0.5,20,half_20_B,0.0
tabm_sko_scale,0.5,20,half_20_B,0.0
tabm_sko_quad_scale,0.5,20,half_20_B,0.0
xgb_sko_ridge,0.5,21,half_21_A,6.0
xgb_sko_quad,0.5,21,half_21_A,5.0
xgb_sko_scale,0.5,21,half_21_A,0.0
xgb_sko_quad_scale,0.5,21,half_21_A,6.0
tabm_sko_ridge,0.5,21,half_21_A,0.0
tabm_sko_quad,0.5,21,half_21_A,0.0
tabm_sko_scale,0.5,21,half_21_A,0.0
tabm_sko_quad_scale,0.5,21,half_21_A,0.0
