method,scene,rep,rule,FDP,power,size,false_count,rmse,theory_regime,nominal_invalid_control
tabm_sko_quad,nonlinear_weak,15,native10,0.0,0.0,0,0,,,
tabm_sko_scale,nonlinear_weak,15,top12,0.5,0.6,12,6,1.6243927010968793,,
tabm_sko_scale,nonlinear_weak,15,top8,0.375,0.5,8,3,,,
tabm_sko_scale,nonlinear_weak,15,native,0.0,0.0,0,0,1.724659239438655,,
tabm_sko_scale,nonlinear_weak,15,native10,0.0,0.0,0,0,,,
tabm_sko_quad_scale,nonlinear_weak,15,top12,0.4166666666666667,0.7,12,5,1.584266668427449,,
tabm_sko_quad_scale,nonlinear_weak,15,top8,0.125,0.7,8,1,,,
tabm_sko_quad_scale,nonlinear_weak,15,native,0.0,0.0,0,0,1.724659239438655,,
tabm_sko_quad_scale,nonlinear_weak,15,native10,0.0,0.0,0,0,,,
xgb_sko_ridge,nonlinear_strong,40,top12,0.5,0.6,12,6,0.9303856702766976,,
xgb_sko_ridge,nonlinear_strong,40,top8,0.25,0.6,8,2,,,
xgb_sko_ridge,nonlinear_strong,40,native,0.0,0.0,0,0,1.158729234114976,,
xgb_sko_ridge,nonlinear_strong,40,native10,0.0,0.0,0,0,,,
xgb_sko_quad,nonlinear_strong,40,top12,0.25,0.9,12,3,0.7994590088089883,,
xgb_sko_quad,nonlinear_strong,40,top8,0.0,0.8,8,0,,,
xgb_sko_quad,nonlinear_strong,40,native,0.25,0.9,12,3,0.7994590088089883,,
xgb_sko_quad,nonlinear_strong,40,native10,0.18181818181818182,0.9,11,2,,,
xgb_sko_scale,nonlinear_strong,40,top12,0.4166666666666667,0.7,12,5,0.8969561648296679,,
xgb_sko_scale,nonlinear_strong,40,top8,0.25,0.6,8,2,,,
xgb_sko_scale,nonlinear_strong,40,native,0.0,0.6,6,0,0.9411291314987786,,
xgb_sko_scale,nonlinear_strong,40,native10,0.0,0.0,0,0,,,
xgb_sko_quad_scale,nonlinear_strong,40,top12,0.16666666666666666,1.0,12,2,0.7834667775487028,,
xgb_sko_quad_scale,nonlinear_strong,40,top8,0.0,0.8,8,0,,,
xgb_sko_quad_scale,nonlinear_strong,40,native,0.16666666666666666,1.0,12,2,0.7834667775487028,,
xgb_sko_quad_scale,nonlinear_strong,40,native10,0.09090909090909091,1.0,11,1,,,
tabm_sko_ridge,nonlinear_strong,40,top12,0.4166666666666667,0.7,12,5,0.9202988458154323,,
tabm_sko_ridge,nonlinear_strong,40,top8,0.25,0.6,8,2,,,
tabm_sko_ridge,nonlinear_strong,40,native,0.0,0.0,0,0,1.158729234114976,,
tabm_sko_ridge,nonlinear_strong,40,native10,0.0,0.0,0,0,,,
tabm_sko_quad,nonlinear_strong,40,top12,0.16666666666666666,1.0,12,2,0.7844493521531665,,
tabm_sko_quad,nonlinear_strong,40,top8,0.0,0.8,8,0,,,
tabm_sko_quad,nonlinear_strong,40,native,0.16666666666666666,1.0,12,2,0.7844493521531665,,
tabm_sko_quad,nonlinear_strong,40,native10,0.0,0.0,0,0,,,
tabm_sko_scale,nonlinear_strong,40,top12,0.5,0.6,12,6,0.9581715219044993,,
tabm_sko_scale,nonlinear_strong,40,top8,0.25,0.6,8,2,,,
tabm_sko_scale,nonlinear_strong,40,native,0.0,0.0,0,0,1.158729234114976,,
tabm_sko_scale,nonlinear_strong,40,native10,0.0,0.0,0,0,,,
tabm_sko_quad_scale,nonlinear_strong,40,top12,0.16666666666666666,1.0,12,2,0.7912217422706337,,
tabm_sko_quad_scale,nonlinear_strong,40,top8,0.0,0.8,8,0,,,
tabm_sko_quad_scale,nonlinear_strong,40,native,0.16666666666666666,1.0,12,2,0.7912217422706337,,
tabm_sko_quad_scale,nonlinear_strong,40,native10,0.0,1.0,10,0,,,
