method,run,group,fraction,half,J,set
tabm_pfi,half_04_A,4,0.5,A,0.7142857142857143,"[0, 23, 16, 21, 19, 15, 20, 2, 17, 18, 25, 5]"
deep_lasso,half_04_A,4,0.5,A,0.8461538461538461,"[23, 0, 21, 20, 24, 25, 16, 27, 15, 19, 2, 7]"
xgb_naive,half_04_A,4,0.5,A,0.4117647058823529,"[19, 18, 21, 0, 7, 2, 28, 8, 25, 20, 27, 4]"
xgb_midpoint,half_04_A,4,0.5,A,0.4117647058823529,"[19, 18, 21, 0, 7, 2, 25, 8, 20, 28, 27, 23]"
xgb_orbit,half_04_A,4,0.5,A,0.4117647058823529,"[19, 18, 21, 0, 7, 2, 8, 25, 20, 28, 27, 23]"
xgb_orbit_student,half_04_A,4,0.5,A,0.3333333333333333,"[18, 19, 7, 14, 21, 25, 22, 8, 2, 20, 23, 0]"
tabm_naive,half_04_A,4,0.5,A,0.2631578947368421,"[0, 7, 18, 21, 24, 27, 11, 8, 2, 5, 10, 3]"
tabm_midpoint,half_04_A,4,0.5,A,0.3333333333333333,"[0, 7, 21, 18, 24, 27, 20, 8, 11, 2, 5, 10]"
tabm_orbit,half_04_A,4,0.5,A,0.3333333333333333,"[0, 21, 7, 18, 24, 27, 20, 11, 8, 2, 5, 10]"
tabm_orbit_student,half_04_A,4,0.5,A,0.2631578947368421,"[7, 11, 12, 18, 0, 24, 21, 10, 8, 5, 14, 22]"
lasso_pair_q20,half_04_B,4,0.5,B,0.3333333333333333,"[20, 0, 25, 27, 5, 19, 1, 2, 6, 8, 9, 10]"
linear_orbit_student,half_04_B,4,0.5,B,0.5,"[0, 20, 17, 25, 2, 27, 8, 23, 1, 3, 4, 5]"
xgb_shap,half_04_B,4,0.5,B,0.6,"[23, 21, 0, 16, 15, 19, 24, 20, 18, 27, 17, 25]"
xgb_pfi,half_04_B,4,0.5,B,0.8461538461538461,"[23, 21, 0, 16, 19, 20, 15, 18, 2, 24, 27, 9]"
tabm_pfi,half_04_B,4,0.5,B,0.7142857142857143,"[23, 0, 16, 15, 21, 19, 20, 2, 25, 1, 24, 27]"
deep_lasso,half_04_B,4,0.5,B,0.8461538461538461,"[23, 21, 0, 16, 15, 25, 20, 19, 27, 24, 18, 4]"
xgb_naive,half_04_B,4,0.5,B,0.4117647058823529,"[16, 19, 18, 0, 4, 12, 15, 1, 17, 5, 13, 20]"
xgb_midpoint,half_04_B,4,0.5,B,0.4117647058823529,"[16, 19, 18, 0, 4, 12, 1, 17, 15, 13, 5, 20]"
xgb_orbit,half_04_B,4,0.5,B,0.4117647058823529,"[16, 19, 18, 0, 4, 12, 15, 17, 1, 5, 13, 20]"
xgb_orbit_student,half_04_B,4,0.5,B,0.3333333333333333,"[12, 4, 16, 19, 0, 18, 5, 13, 15, 20, 1, 17]"
tabm_naive,half_04_B,4,0.5,B,0.3333333333333333,"[0, 20, 1, 13, 18, 4, 2, 11, 12, 24, 7, 8]"
tabm_midpoint,half_04_B,4,0.5,B,0.2631578947368421,"[0, 20, 1, 13, 18, 4, 11, 2, 12, 24, 7, 8]"
tabm_orbit,half_04_B,4,0.5,B,0.2631578947368421,"[0, 20, 1, 13, 18, 4, 11, 2, 12, 24, 7, 8]"
tabm_orbit_student,half_04_B,4,0.5,B,0.2631578947368421,"[20, 0, 13, 11, 4, 12, 1, 24, 18, 2, 14, 7]"
lasso_pair_q20,half_05_A,5,0.5,A,0.4117647058823529,"[23, 20, 16, 25, 26, 15, 8, 7, 3, 27, 10, 19]"
linear_orbit_student,half_05_A,5,0.5,A,0.3333333333333333,"[23, 17, 20, 25, 6, 27, 8, 16, 26, 0, 2, 1]"
xgb_shap,half_05_A,5,0.5,A,0.8461538461538461,"[23, 0, 21, 24, 16, 19, 15, 18, 20, 2, 1, 17]"
xgb_pfi,half_05_A,5,0.5,A,0.8461538461538461,"[23, 0, 21, 19, 16, 24, 15, 20, 2, 18, 1, 8]"
tabm_pfi,half_05_A,5,0.5,A,0.6,"[0, 23, 15, 16, 19, 21, 2, 20, 17, 1, 8, 18]"
deep_lasso,half_05_A,5,0.5,A,0.7142857142857143,"[23, 21, 16, 0, 25, 20, 19, 15, 27, 9, 24, 2]"
xgb_naive,half_05_A,5,0.5,A,0.4117647058823529,"[23, 0, 16, 27, 21, 8, 7, 20, 11, 17, 24, 26]"
xgb_midpoint,half_05_A,5,0.5,A,0.4117647058823529,"[23, 16, 0, 27, 21, 8, 7, 20, 11, 17, 24, 9]"
xgb_orbit,half_05_A,5,0.5,A,0.4117647058823529,"[23, 16, 0, 27, 8, 21, 7, 20, 11, 17, 24, 26]"
xgb_orbit_student,half_05_A,5,0.5,A,0.3333333333333333,"[23, 10, 11, 27, 0, 8, 16, 7, 26, 21, 20, 17]"
tabm_naive,half_05_A,5,0.5,A,0.5,"[23, 20, 21, 17, 27, 0, 3, 11, 1, 10, 25, 18]"
tabm_midpoint,half_05_A,5,0.5,A,0.5,"[23, 20, 21, 27, 17, 0, 3, 1, 25, 10, 11, 18]"
tabm_orbit,half_05_A,5,0.5,A,0.5,"[23, 20, 21, 17, 27, 0, 3, 25, 1, 11, 10, 5]"
tabm_orbit_student,half_05_A,5,0.5,A,0.5,"[17, 23, 11, 21, 20, 3, 10, 12, 27, 22, 5, 25]"
lasso_pair_q20,half_05_B,5,0.5,B,0.4117647058823529,"[20, 0, 25, 16, 27, 2, 22, 18, 9, 1, 3, 4]"
linear_orbit_student,half_05_B,5,0.5,B,0.3333333333333333,"[20, 22, 0, 25, 4, 21, 27, 12, 16, 17, 8, 2]"
xgb_shap,half_05_B,5,0.5,B,0.7142857142857143,"[21, 23, 0, 16, 19, 15, 24, 25, 18, 1, 20, 27]"
xgb_pfi,half_05_B,5,0.5,B,0.7142857142857143,"[21, 23, 0, 16, 19, 20, 18, 24, 15, 25, 28, 27]"
tabm_pfi,half_05_B,5,0.5,B,0.7142857142857143,"[23, 0, 21, 20, 16, 15, 19, 24, 27, 2, 25, 26]"
deep_lasso,half_05_B,5,0.5,B,1.0,"[23, 0, 21, 20, 25, 19, 15, 16, 24, 27, 18, 7]"
xgb_naive,half_05_B,5,0.5,B,0.6,"[18, 16, 0, 19, 25, 21, 23, 17, 4, 6, 9, 20]"
xgb_midpoint,half_05_B,5,0.5,B,0.5,"[18, 16, 0, 19, 25, 21, 23, 17, 4, 9, 8, 6]"
xgb_orbit,half_05_B,5,0.5,B,0.5,"[18, 16, 0, 19, 25, 21, 23, 17, 4, 9, 6, 8]"
xgb_orbit_student,half_05_B,5,0.5,B,0.4117647058823529,"[18, 6, 25, 13, 16, 9, 23, 4, 17, 0, 20, 21]"
tabm_naive,half_05_B,5,0.5,B,0.5,"[0, 20, 25, 21, 16, 4, 18, 23, 27, 8, 24, 11]"
tabm_midpoint,half_05_B,5,0.5,B,0.5,"[0, 20, 21, 25, 16, 23, 4, 18, 27, 24, 8, 3]"
tabm_orbit,half_05_B,5,0.5,B,0.5,"[0, 20, 21, 25, 16, 23, 4, 18, 27, 24, 8, 3]"
tabm_orbit_student,half_05_B,5,0.5,B,0.2631578947368421,"[20, 0, 25, 3, 24, 8, 4, 14, 11, 5, 16, 18]"
lasso_pair_q20,half_06_A,6,0.5,A,0.5,"[20, 25, 23, 2, 27, 26, 22, 3, 8, 5, 9, 4]"
linear_orbit_student,half_06_A,6,0.5,A,0.4117647058823529,"[23, 20, 25, 27, 22, 6, 11, 7, 15, 21, 2, 1]"
xgb_shap,half_06_A,6,0.5,A,0.8461538461538461,"[23, 0, 21, 24, 19, 16, 15, 20, 18, 25, 2, 1]"
xgb_pfi,half_06_A,6,0.5,A,0.7142857142857143,"[23, 0, 21, 19, 16, 24, 15, 20, 18, 2, 25, 22]"
tabm_pfi,half_06_A,6,0.5,A,0.8461538461538461,"[23, 0, 15, 21, 16, 19, 2, 24, 25, 20, 27, 18]"
deep_lasso,half_06_A,6,0.5,A,0.8461538461538461,"[23, 21, 0, 16, 20, 15, 25, 19, 27, 18, 24, 2]"
xgb_naive,half_06_A,6,0.5,A,0.6,"[19, 16, 18, 23, 25, 28, 21, 3, 24, 20, 4, 15]"
xgb_midpoint,half_06_A,6,0.5,A,0.6,"[19, 16, 18, 23, 25, 21, 28, 3, 24, 20, 4, 8]"
xgb_orbit,half_06_A,6,0.5,A,0.6,"[19, 16, 18, 23, 25, 21, 28, 3, 24, 20, 4, 15]"
xgb_orbit_student,half_06_A,6,0.5,A,0.3333333333333333,"[23, 25, 3, 19, 20, 24, 21, 28, 16, 11, 15, 22]"
tabm_naive,half_06_A,6,0.5,A,0.3333333333333333,"[23, 16, 27, 20, 25, 18, 21, 24, 3, 10, 9, 19]"
tabm_midpoint,half_06_A,6,0.5,A,0.3333333333333333,"[23, 16, 27, 20, 25, 21, 18, 24, 3, 10, 9, 8]"
tabm_orbit,half_06_A,6,0.5,A,0.3333333333333333,"[23, 16, 27, 20, 25, 21, 18, 24, 3, 10, 9, 8]"
tabm_orbit_student,half_06_A,6,0.5,A,0.3333333333333333,"[23, 25, 24, 16, 10, 22, 27, 3, 20, 8, 21, 18]"
lasso_pair_q20,half_06_B,6,0.5,B,0.4117647058823529,"[0, 21, 25, 16, 27, 3, 28, 6, 15, 1, 10, 9]"
linear_orbit_student,half_06_B,6,0.5,B,0.3333333333333333,"[21, 22, 25, 0, 8, 17, 16, 27, 26, 7, 28, 1]"
xgb_shap,half_06_B,6,0.5,B,0.8461538461538461,"[21, 23, 0, 16, 19, 24, 15, 20, 18, 7, 28, 2]"
xgb_pfi,half_06_B,6,0.5,B,0.7142857142857143,"[21, 0, 23, 19, 16, 15, 20, 24, 18, 1, 7, 28]"
tabm_pfi,half_06_B,6,0.5,B,0.6,"[0, 23, 19, 15, 16, 21, 20, 1, 8, 24, 7, 22]"
deep_lasso,half_06_B,6,0.5,B,0.8461538461538461,"[23, 21, 0, 20, 25, 19, 15, 16, 27, 24, 26, 18]"
xgb_naive,half_06_B,6,0.5,B,0.4117647058823529,"[19, 21, 18, 26, 25, 5, 4, 6, 1, 23, 3, 11]"
xgb_midpoint,half_06_B,6,0.5,B,0.4117647058823529,"[19, 18, 21, 26, 25, 5, 23, 4, 6, 3, 11, 1]"
xgb_orbit,half_06_B,6,0.5,B,0.4117647058823529,"[19, 21, 18, 26, 5, 25, 23, 6, 4, 3, 1, 8]"
xgb_orbit_student,half_06_B,6,0.5,B,0.4117647058823529,"[21, 6, 25, 26, 19, 5, 13, 4, 11, 23, 12, 18]"
tabm_naive,half_06_B,6,0.5,B,0.5,"[0, 20, 21, 1, 25, 19, 23, 26, 3, 4, 7, 8]"
tabm_midpoint,half_06_B,6,0.5,B,0.5,"[0, 20, 21, 1, 23, 19, 25, 26, 3, 15, 8, 7]"
tabm_orbit,half_06_B,6,0.5,B,0.5,"[0, 21, 20, 1, 23, 19, 25, 26, 3, 8, 15, 7]"
tabm_orbit_student,half_06_B,6,0.5,B,0.5,"[1, 0, 21, 4, 3, 25, 20, 19, 22, 23, 8, 26]"
lasso_pair_q20,half_07_A,7,0.5,A,0.5,"[20, 0, 25, 23, 16, 26, 14, 1, 3, 4, 5, 9]"
linear_orbit_student,half_07_A,7,0.5,A,0.4117647058823529,"[25, 20, 21, 22, 26, 17, 5, 10, 19, 7, 0, 27]"
xgb_shap,half_07_A,7,0.5,A,0.6,"[21, 0, 16, 23, 19, 20, 24, 15, 18, 27, 17, 6]"
xgb_pfi,half_07_A,7,0.5,A,0.8461538461538461,"[21, 0, 16, 19, 23, 20, 15, 18, 24, 27, 2, 17]"
tabm_pfi,half_07_A,7,0.5,A,0.7142857142857143,"[0, 23, 16, 21, 20, 19, 15, 2, 25, 27, 3, 24]"
