method,run,group,fraction,half,J,set
tabm_midpoint,half_05_B,5,0.5,B,0.5,"[16, 0, 15, 19, 18, 27, 5, 20, 26, 24, 22, 3]"
tabm_orbit,half_05_B,5,0.5,B,0.4117647058823529,"[0, 16, 15, 19, 18, 27, 20, 5, 26, 24, 4, 22]"
tabm_orbit_student,half_05_B,5,0.5,B,0.5,"[0, 16, 19, 5, 24, 2, 18, 20, 26, 15, 3, 22]"
lasso_pair_q20,half_06_A,6,0.5,A,0.5,"[20, 0, 25, 16, 27, 2, 26, 22, 23, 17, 3, 5]"
linear_orbit_student,half_06_A,6,0.5,A,0.6,"[0, 16, 20, 25, 22, 13, 23, 17, 21, 28, 2, 27]"
xgb_shap,half_06_A,6,0.5,A,0.8461538461538461,"[23, 0, 21, 24, 19, 16, 15, 20, 18, 25, 2, 1]"
xgb_pfi,half_06_A,6,0.5,A,0.7142857142857143,"[23, 0, 21, 19, 16, 24, 15, 20, 18, 2, 25, 22]"
tabm_pfi,half_06_A,6,0.5,A,0.8461538461538461,"[23, 0, 15, 21, 16, 19, 2, 24, 25, 20, 27, 18]"
deep_lasso,half_06_A,6,0.5,A,0.8461538461538461,"[23, 21, 0, 16, 20, 15, 25, 19, 27, 18, 24, 2]"
xgb_naive,half_06_A,6,0.5,A,0.6,"[19, 16, 0, 18, 17, 15, 28, 8, 3, 25, 22, 20]"
xgb_midpoint,half_06_A,6,0.5,A,0.6,"[19, 16, 15, 0, 17, 28, 18, 8, 22, 3, 25, 1]"
xgb_orbit,half_06_A,6,0.5,A,0.5,"[19, 16, 0, 15, 17, 18, 28, 22, 8, 4, 25, 3]"
xgb_orbit_student,half_06_A,6,0.5,A,0.3333333333333333,"[16, 19, 0, 17, 3, 15, 20, 25, 28, 22, 4, 8]"
tabm_naive,half_06_A,6,0.5,A,0.5,"[16, 19, 15, 0, 20, 27, 28, 22, 17, 25, 8, 5]"
tabm_midpoint,half_06_A,6,0.5,A,0.6,"[16, 15, 19, 0, 17, 18, 22, 20, 3, 5, 28, 26]"
tabm_orbit,half_06_A,6,0.5,A,0.7142857142857143,"[16, 15, 19, 0, 17, 22, 18, 20, 5, 3, 28, 8]"
tabm_orbit_student,half_06_A,6,0.5,A,0.4117647058823529,"[16, 19, 0, 15, 5, 22, 17, 13, 20, 12, 23, 25]"
lasso_pair_q20,half_06_B,6,0.5,B,0.6,"[0, 20, 21, 26, 16, 25, 27, 3, 28, 19, 6, 17]"
linear_orbit_student,half_06_B,6,0.5,B,0.8461538461538461,"[0, 19, 21, 16, 26, 27, 28, 25, 2, 22, 7, 20]"
xgb_shap,half_06_B,6,0.5,B,0.8461538461538461,"[21, 23, 0, 16, 19, 24, 15, 20, 18, 7, 28, 2]"
xgb_pfi,half_06_B,6,0.5,B,0.7142857142857143,"[21, 0, 23, 19, 16, 15, 20, 24, 18, 1, 7, 28]"
tabm_pfi,half_06_B,6,0.5,B,0.6,"[0, 23, 19, 15, 16, 21, 20, 1, 8, 24, 7, 22]"
deep_lasso,half_06_B,6,0.5,B,0.8461538461538461,"[23, 21, 0, 20, 25, 19, 15, 16, 27, 24, 26, 18]"
xgb_naive,half_06_B,6,0.5,B,0.5,"[19, 16, 0, 18, 15, 7, 21, 1, 23, 24, 6, 2]"
xgb_midpoint,half_06_B,6,0.5,B,0.4117647058823529,"[19, 16, 15, 0, 7, 18, 21, 1, 17, 23, 24, 2]"
xgb_orbit,half_06_B,6,0.5,B,0.5,"[19, 16, 0, 15, 7, 18, 21, 1, 23, 27, 11, 17]"
xgb_orbit_student,half_06_B,6,0.5,B,0.5,"[19, 16, 0, 11, 15, 23, 1, 21, 7, 10, 18, 24]"
