method,run,fraction,size,empty
xgb_midpoint,half_16_B,0.5,7,False
xgb_orbit,half_16_B,0.5,8,False
xgb_orbit_student,half_16_B,0.5,0,True
tabm_naive,half_16_B,0.5,0,True
tabm_midpoint,half_16_B,0.5,5,False
tabm_orbit,half_16_B,0.5,15,False
tabm_orbit_student,half_16_B,0.5,0,True
lasso_pair_q20,half_17_A,0.5,0,True
linear_orbit_student,half_17_A,0.5,6,False
xgb_naive,half_17_A,0.5,20,False
xgb_midpoint,half_17_A,0.5,20,False
xgb_orbit,half_17_A,0.5,17,False
xgb_orbit_student,half_17_A,0.5,5,False
tabm_naive,half_17_A,0.5,18,False
tabm_midpoint,half_17_A,0.5,16,False
tabm_orbit,half_17_A,0.5,16,False
tabm_orbit_student,half_17_A,0.5,0,True
lasso_pair_q20,half_17_B,0.5,5,False
linear_orbit_student,half_17_B,0.5,0,True
xgb_naive,half_17_B,0.5,0,True
xgb_midpoint,half_17_B,0.5,5,False
xgb_orbit,half_17_B,0.5,5,False
xgb_orbit_student,half_17_B,0.5,0,True
tabm_naive,half_17_B,0.5,0,True
tabm_midpoint,half_17_B,0.5,0,True
tabm_orbit,half_17_B,0.5,0,True
tabm_orbit_student,half_17_B,0.5,0,True
lasso_pair_q20,half_18_A,0.5,0,True
linear_orbit_student,half_18_A,0.5,0,True
xgb_naive,half_18_A,0.5,0,True
xgb_midpoint,half_18_A,0.5,0,True
xgb_orbit,half_18_A,0.5,0,True
xgb_orbit_student,half_18_A,0.5,0,True
tabm_naive,half_18_A,0.5,0,True
tabm_midpoint,half_18_A,0.5,0,True
tabm_orbit,half_18_A,0.5,0,True
tabm_orbit_student,half_18_A,0.5,0,True
lasso_pair_q20,half_18_B,0.5,7,False
linear_orbit_student,half_18_B,0.5,7,False
xgb_naive,half_18_B,0.5,13,False
xgb_midpoint,half_18_B,0.5,13,False
xgb_orbit,half_18_B,0.5,13,False
xgb_orbit_student,half_18_B,0.5,7,False
tabm_naive,half_18_B,0.5,7,False
tabm_midpoint,half_18_B,0.5,7,False
tabm_orbit,half_18_B,0.5,7,False
tabm_orbit_student,half_18_B,0.5,0,True
lasso_pair_q20,half_19_A,0.5,8,False
linear_orbit_student,half_19_A,0.5,6,False
xgb_naive,half_19_A,0.5,5,False
xgb_midpoint,half_19_A,0.5,0,True
xgb_orbit,half_19_A,0.5,5,False
xgb_orbit_student,half_19_A,0.5,8,False
tabm_naive,half_19_A,0.5,6,False
tabm_midpoint,half_19_A,0.5,6,False
tabm_orbit,half_19_A,0.5,6,False
tabm_orbit_student,half_19_A,0.5,0,True
lasso_pair_q20,half_19_B,0.5,0,True
linear_orbit_student,half_19_B,0.5,0,True
xgb_naive,half_19_B,0.5,0,True
xgb_midpoint,half_19_B,0.5,0,True
xgb_orbit,half_19_B,0.5,0,True
xgb_orbit_student,half_19_B,0.5,0,True
tabm_naive,half_19_B,0.5,0,True
tabm_midpoint,half_19_B,0.5,0,True
tabm_orbit,half_19_B,0.5,0,True
tabm_orbit_student,half_19_B,0.5,0,True
